"ENCp_HEG" "ENCp_rest" "deltaENCp"
"GCF_000020945.1_ASM2094v1" 55.7898 57.8079 0.0349
"GCF_000016905.1_ASM1690v1" 49.9944 57.0414 0.1235
"GCF_000021285.1_ASM2128v1" 47.6138 56.4256 0.1562
"GCF_000017545.1_ASM1754v1" 44.0888 56.3095 0.217
"GCA_000235405.3_ASM23540v3" 43.6761 56.7571 0.2305
"GCF_000017865.1_ASM1786v1" 52.9074 55.8224 0.0522
"GCF_000217815.1_ASM21781v1" 49.6865 53.7472 0.0756
"GCF_000018945.1_ASM1894v1" 47.0503 51.3141 0.0831
"GCF_000008545.1_ASM854v1" 44.4879 51.5348 0.1367
"GCF_000255135.1_ASM25513v1" 44.1219 56.4925 0.219
"GCF_000018605.1_ASM1860v1" 54.1209 57.4744 0.0583
"GCF_000023325.1_ASM2332v1" 47.2291 57.1874 0.1741
"GCA_000147715.3_ASM14771v3" 51.1003 55.3222 0.0763
"GCF_000212395.1_ASM21239v1" 49.9045 54.9943 0.0926
"GCF_000020965.1_ASM2096v1" 52.1001 54.1204 0.0373
"GCF_000021645.1_ASM2164v1" 47.4803 53.3719 0.1104
"GCF_000266925.1_ASM26692v1" 51.1589 56.371 0.0925
"GCF_000233775.1_ASM23377v1" 51.5992 55.6984 0.0736
"GCF_000024905.1_ASM2490v1" 49.1576 52.4204 0.0622
"GCA_000210715.1_ASM21071v1" 50.2243 56.9542 0.1182
"GCF_000025885.1_ASM2588v1" 52.461 57.2994 0.0844
"GCF_000160495.1_ASM16049v1" 43.5453 50.9958 0.1461
"GCF_000025305.1_ASM2530v1" 37.2895 42.9172 0.1311
"GCF_000230275.1_ASM23027v1" 42.8036 53.7252 0.2033
"GCF_000024945.1_ASM2494v1" 35.9031 51.4019 0.3015
"GCF_000092945.1_ASM9294v1" 49.48 54.3702 0.0899
"GCF_000018425.1_ASM1842v1" 49.9478 54.8975 0.0902
"GCF_000024605.1_ASM2460v1" 55.9483 56.9202 0.0171
"GCF_000016165.1_ASM1616v1" 43.5769 55.918 0.2207
"GCF_000215085.1_ASM21508v1" 44.0303 51.1997 0.14
"GCA_000010565.1_ASM1056v1" 49.3417 53.1545 0.0717
"GCA_000233715.3_ASM23371v3" 47.3758 54.3579 0.1284
"GCF_000024205.1_ASM2420v1" 50.0866 56.4003 0.1119
"GCF_000012865.1_ASM1286v1" 41.3299 51.0174 0.1899
"GCF_000092405.1_ASM9240v1" 53.8912 58.1377 0.073
"GCF_000014725.1_ASM1472v1" 48.1351 53.9915 0.1085
"GCF_000013105.1_ASM1310v1" 46.4113 52.8993 0.1226
"GCF_000512895.1_ASM51289v1" 50.9284 55.6683 0.0851
"GCF_000190635.1_ASM19063v1" 50.4219 55.3228 0.0886
"GCA_000255115.3_ASM25511v3" 51.2775 57.7189 0.1116
"GCF_000235605.1_ASM23560v1" 54.0379 57.2547 0.0562
"GCA_000231385.3_ASM23138v3" 51.8645 58.3144 0.1106
"GCA_000243135.3_ASM24313v3" 51.9025 57.7444 0.1012
"GCA_000243155.3_ASM24315v3" 49.7466 56.1638 0.1143
"GCF_000010045.1_ASM1004v1" 48.5119 54.725 0.1135
"GCA_000231405.3_ASM23140v3" 51.3357 57.364 0.1051
"GCF_000019165.1_ASM1916v1" 51.6758 55.2235 0.0642
"GCF_000213255.1_ASM21325v1" 48.9345 54.3161 0.0991
"GCF_000007085.1_ASM708v1" 49.7785 54.9066 0.0934
"GCA_000147695.3_ASM14769v3" 54.0434 56.6809 0.0465
"GCF_000019085.1_ASM1908v1" 54.1979 56.7002 0.0441
"GCF_000092965.1_ASM9296v1" 53.2326 56.819 0.0631
"GCA_000189775.3_ASM18977v3" 50.4336 55.8398 0.0968
"GCF_000328545.1_ASM32854v1" 53.4294 56.3759 0.0523
"GCF_000145615.1_ASM14561v1" 54.8726 56.4081 0.0272
"GCA_000013845.1_ASM1384v1" 42.0504 54.4237 0.2274
"GCF_000013285.1_ASM1328v1" 41.6897 54.1641 0.2303
"GCF_000016965.1_ASM1696v1" 50.6695 57.2216 0.1145
"GCF_000020285.1_ASM2028v1" 46.1484 56.6516 0.1854
"GCF_000016505.1_ASM1650v1" 54.0468 56.7731 0.048
"GCF_000143685.1_ASM14368v1" 54.0814 56.776 0.0475
"GCF_000007625.1_ASM762v1" 50.6492 56.6665 0.1062
"GCF_000019545.1_ASM1954v1" 52.7263 56.8122 0.0719
"GCF_000204565.1_ASM20456v1" 47.9341 57.3925 0.1648
"GCF_000014125.1_ASM1412v1" 47.13 56.3186 0.1632
"GCF_000145275.1_ASM14527v1" 46.5693 57.4876 0.1899
"GCF_000191905.1_ASM19190v1" 48.9902 56.361 0.1308
"GCF_000024105.1_ASM2410v1" 43.1244 54.7082 0.2117
"GCF_000010185.1_ASM1018v1" 44.5219 54.5145 0.1833
"GCF_000163895.2_ASM16389v2" 45.2315 53.8508 0.1601
"GCF_000196455.1_ASM19645v1" 46.2786 54.7424 0.1546
"GCF_000085225.1_ASM8522v1" 50.1541 57.0257 0.1205
"GCF_000016985.1_ASM1698v1" 57.3046 58.1092 0.0138
"GCF_000018325.1_ASM1832v1" 49.206 57.8124 0.1489
"GCF_000024405.1_ASM2440v1" 46.1852 51.9138 0.1103
"GCF_000023905.1_ASM2390v1" 51.3577 56.4787 0.0907
"GCF_000024565.1_ASM2456v1" 51.7634 57.0078 0.092
"GCF_000165505.1_ASM16550v1" 44.8712 54.981 0.1839
"GCF_000007325.1_ASM732v1" 51.3524 56.1356 0.0852
"GCF_000158275.2_ASM15827v2" 52.7756 56.2812 0.0623
"GCF_000027145.1_ASM2714v1" 42.4712 54.5378 0.2213
"GCF_000060285.1_ASM6028v1" 42.3109 54.5593 0.2245
"GCF_000196035.1_ASM19603v1" 41.6782 53.9525 0.2275
"GCF_000252975.1_ASM25297v1" 42.3019 55.0506 0.2316
"GCF_000168635.2_ASM16863v2" 41.7476 54.0654 0.2278
"GCF_000008285.1_ASM828v1" 41.7355 53.9381 0.2262
"GCF_000091405.1_ASM9140v1" 34.7555 55.3057 0.3716
"GCF_000014425.1_ASM1442v1" 34.5801 54.349 0.3637
"GCF_000191165.1_ASM19116v1" 28.7357 51.0926 0.4376
"GCF_000182835.1_ASM18283v1" 29.4407 51.0765 0.4236
"GCF_000091765.1_ASM9176v1" 32.0961 53.1413 0.396
"GCF_000214785.1_ASM21478v1" 33.1444 53.8749 0.3848
"GCF_000189515.1_ASM18951v1" 32.2456 53.4087 0.3962
"GCF_000011985.1_ASM1198v1" 32.2196 53.1873 0.3942
"GCF_000182855.2_ASM18285v1" 31.3868 51.8005 0.3941
"GCF_000026065.1_ASM2606v1" 36.5954 49.809 0.2653
"GCF_000011045.1_ASM1104v1" 44.6889 51.9167 0.1392
"GCF_000233755.1_ASM23375v1" 44.5262 51.7305 0.1393
"GCF_000155515.2_ASM15551v2" 41.2994 52.2773 0.21
"GCF_000008925.1_ASM892v1" 35.1605 55.302 0.3642
"GCF_000014505.1_ASM1450v1" 37.1179 54.388 0.3175
"GCA_000237995.2_ASM23799v2" 38.5794 55.9029 0.3099
"GCF_000203855.3_ASM20385v3" 38.3768 51.4727 0.2544
"GCF_000014465.1_ASM1446v1" 37.0231 51.8686 0.2862
"GCF_000225325.1_ASM22532v1" 37.5543 53.3775 0.2964
"GCF_000219805.1_ASM21980v1" 20.2063 52.5625 0.6156
"GCF_000014385.1_ASM1438v1" 47.2246 54.999 0.1414
"GCF_000234825.3_ASM23482v3" 20.5775 53.1336 0.6127
"GCF_000092505.1_ASM9250v1" 23.7123 52.0616 0.5445
"GCF_000026405.1_ASM2640v1" 20.1746 51.8801 0.6111
"GCF_000159455.2_ASM15945v2" 34.0557 54.1366 0.3709
"GCF_000010145.1_ASM1014v1" 37.8011 51.9116 0.2718
"GCF_000006865.1_ASM686v1" 33.9672 54.8971 0.3813
"GCF_000009425.1_ASM942v1" 33.7273 55.4722 0.392
"GCF_000014545.1_ASM1454v1" 35.3675 55.6609 0.3646
"GCF_000269925.1_ASM26992v1" 32.7862 53.8027 0.3906
"GCF_000253335.1_ASM25333v1" 30.6636 52.7013 0.4182
"GCF_000011845.1_ASM1184v1" 31.6583 53.3891 0.407
"GCF_000270165.1_ASM27016v1" 33.4827 51.6903 0.3522
"GCF_000213825.1_ASM21382v1" 36.2721 56.1676 0.3542
"GCF_000009545.1_ASM954v1" 38.6343 55.7493 0.307
"GCF_000010705.1_ASM1070v1" 33.735 55.4786 0.3919
"GCF_000219765.1_ASM21976v1" 38.6351 55.9217 0.3091
"GCF_000020765.1_ASM2076v1" 37.8418 55.6567 0.3201
"GCF_000230295.1_ASM23029v1" 35.2649 55.2188 0.3614
"GCF_000012165.1_ASM1216v1" 35.916 55.3689 0.3513
"GCF_000196055.1_ASM19605v1" 36.5182 55.9312 0.3471
"GCF_000007465.2_ASM746v2" 40.7405 55.3003 0.2633
"GCF_000164675.2_ASM16467v2" 32.6945 54.1469 0.3962
"GCF_000253155.1_ASM25315v1" 32.3309 54.3655 0.4053
"GCF_000027165.1_ASM2716v1" 32.5469 54.5077 0.4029
"GCF_000221985.1_ASM22198v1" 31.9681 54.8645 0.4173
"GCF_000251085.2_ASM25108v2" 33.1287 54.6032 0.3933
"GCF_000019025.1_ASM1902v1" 32.6072 54.5201 0.4019
"GCF_000007045.1_ASM704v1" 33.4104 54.2699 0.3844
"GCF_000017005.1_ASM1700v1" 33.207 56.24 0.4095
"GCF_000014205.1_ASM1420v1" 33.9791 55.3623 0.3862
"GCF_000018185.1_ASM1818v1" 31.302 54.8459 0.4293
"GCF_000231865.1_ASM23186v1" 34.7708 54.6675 0.364
"GCF_000231885.1_ASM23188v1" 31.3177 55.2241 0.4329
"GCF_000283615.1_ASM28361v1" 44.6406 54.9852 0.1881
"GCF_000166815.1_ASM16681v1" 43.9044 55.463 0.2084
"GCF_000270185.1_ASM27018v1" 46.1386 56.1632 0.1785
"GCA_000210115.1_ASM21011v1" 39.3906 52.1159 0.2442
"GCF_000007785.1_ASM778v1" 39.9637 52.826 0.2435
"GCF_000172575.2_ASM17257v2" 38.996 51.7049 0.2458
"GCF_000195575.1_ASM19557v1" 41.0057 55.4663 0.2607
"GCF_000193205.1_ASM19320v1" 40.8958 54.2876 0.2467
"GCA_000017965.1_ASM1796v1" 40.0703 55.0476 0.2721
"GCF_000011245.1_ASM1124v1" 47.0245 57.3026 0.1794
"GCF_000023045.1_ASM2304v1" 37.8685 49.7801 0.2393
"GCF_000177235.2_ASM17723v2" 43.5813 58.1003 0.2499
"GCF_000093085.1_ASM9308v1" 45.8864 55.1812 0.1684
"GCF_000009825.1_ASM982v1" 44.8562 53.6627 0.1641
"GCF_000011145.1_ASM1114v1" 47.6181 56.0468 0.1504
"GCF_000005825.2_ASM582v2" 41.8827 56.9482 0.2645
"GCF_000024685.1_ASM2468v1" 46.1488 54.2103 0.1487
"GCA_000146875.2_ASM14687v2" 39.5434 55.5927 0.2887
"GCF_000235585.1_ASM23558v1" 41.9411 55.1515 0.2395
"GCF_000023585.1_ASM2358v1" 39.5421 53.4942 0.2608
"GCA_000227705.3_ASM22770v3" 44.8258 51.1559 0.1237
