"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "Val" "Ala" "Gly" "Pro" "Ser" "Thr" "Leu" "Arg"
"GCF_000020945.1_ASM2094v1" 0.0353 0.0175 0.0456 0.0384 0.034 0.0612 0.074 0.0527 0.0081 0.0265 0.0658 0.0903 0.0796 0.0754 0.0447 0.0372 0.054 0.1122 0.0476
"GCF_000016905.1_ASM1690v1" 0.0451 0.0139 0.0595 0.0572 0.0203 0.101 0.0805 0.0512 0.0064 0.0191 0.1019 0.0718 0.0507 0.063 0.0331 0.0411 0.0468 0.1004 0.037
"GCF_000021285.1_ASM2128v1" 0.0461 0.0136 0.0586 0.0578 0.0214 0.0997 0.0809 0.0522 0.006 0.0206 0.1009 0.0708 0.0519 0.062 0.0332 0.0429 0.0454 0.0997 0.0363
"GCF_000017545.1_ASM1754v1" 0.045 0.0148 0.0536 0.0528 0.0255 0.0886 0.0806 0.0516 0.0069 0.0207 0.0954 0.0766 0.0571 0.0654 0.0353 0.042 0.0504 0.0974 0.0404
"GCA_000235405.3_ASM23540v3" 0.0441 0.0157 0.0535 0.0466 0.0267 0.0819 0.0795 0.0506 0.007 0.0206 0.0853 0.0827 0.0629 0.0677 0.0375 0.0402 0.0527 0.1009 0.0438
"GCF_000017865.1_ASM1786v1" 0.0382 0.0166 0.0541 0.0446 0.0297 0.077 0.0725 0.0517 0.0099 0.0208 0.0897 0.0783 0.0662 0.0671 0.038 0.0467 0.049 0.1036 0.0463
"GCF_000217815.1_ASM21781v1" 0.0377 0.0154 0.0537 0.0402 0.0304 0.0817 0.0767 0.0486 0.0101 0.0203 0.0812 0.0863 0.0699 0.0675 0.0391 0.0386 0.0485 0.1083 0.0459
"GCF_000018945.1_ASM1894v1" 0.0368 0.0167 0.0544 0.036 0.0207 0.0758 0.0913 0.0514 0.0075 0.0177 0.0731 0.0899 0.0603 0.072 0.0411 0.0422 0.0475 0.1055 0.0599
"GCF_000008545.1_ASM854v1" 0.0371 0.0164 0.0541 0.0374 0.0208 0.0782 0.0925 0.0515 0.0073 0.0176 0.0744 0.0898 0.0604 0.0714 0.0413 0.0413 0.0469 0.1047 0.0569
"GCF_000255135.1_ASM25513v1" 0.0502 0.0142 0.0558 0.0639 0.0204 0.1024 0.0847 0.0544 0.0048 0.0161 0.1087 0.0604 0.0514 0.0604 0.0324 0.0427 0.048 0.0964 0.0326
"GCF_000018605.1_ASM1860v1" 0.0442 0.0142 0.0534 0.0592 0.0279 0.0887 0.083 0.0548 0.0063 0.0199 0.0955 0.0667 0.0538 0.0639 0.0351 0.0454 0.05 0.1013 0.0367
"GCF_000023325.1_ASM2332v1" 0.0396 0.0163 0.0527 0.0429 0.0224 0.0806 0.0809 0.0521 0.0078 0.0201 0.0855 0.0755 0.0646 0.0705 0.0395 0.0424 0.0503 0.1056 0.0506
"GCA_000147715.3_ASM14771v3" 0.0356 0.0152 0.0522 0.0393 0.023 0.0614 0.0795 0.0561 0.0082 0.0235 0.079 0.0781 0.0687 0.0766 0.039 0.0539 0.0504 0.1046 0.0555
"GCF_000212395.1_ASM21239v1" 0.0381 0.0145 0.0596 0.0561 0.0244 0.086 0.0701 0.0539 0.0114 0.0221 0.0954 0.066 0.059 0.0635 0.0368 0.0514 0.0453 0.106 0.0404
"GCF_000020965.1_ASM2096v1" 0.0454 0.014 0.0532 0.0494 0.0221 0.0879 0.084 0.0506 0.0074 0.0192 0.1001 0.0677 0.0531 0.068 0.0412 0.0395 0.0432 0.1083 0.0458
"GCF_000021645.1_ASM2164v1" 0.0448 0.0141 0.0527 0.0489 0.0224 0.0881 0.0849 0.05 0.0071 0.0187 0.1007 0.0672 0.0537 0.0684 0.0414 0.0394 0.0434 0.1083 0.0456
"GCF_000266925.1_ASM26692v1" 0.0319 0.0182 0.0424 0.034 0.0266 0.0637 0.0716 0.0558 0.014 0.0212 0.0741 0.0809 0.0857 0.0823 0.0452 0.0413 0.0456 0.1099 0.0557
"GCF_000233775.1_ASM23377v1" 0.0297 0.018 0.0424 0.0334 0.0267 0.0701 0.0802 0.051 0.0126 0.0213 0.0691 0.0817 0.0835 0.0819 0.0452 0.0417 0.0462 0.1094 0.056
"GCF_000024905.1_ASM2490v1" 0.0235 0.019 0.0371 0.0231 0.028 0.0363 0.0708 0.0564 0.0133 0.0165 0.0489 0.0928 0.0928 0.1004 0.0521 0.0492 0.0404 0.1163 0.083
"GCA_000210715.1_ASM21071v1" 0.0271 0.0173 0.0409 0.0297 0.0282 0.0419 0.0696 0.0565 0.0141 0.0202 0.0519 0.0809 0.1102 0.0899 0.0473 0.0387 0.0506 0.1108 0.0742
"GCF_000025885.1_ASM2588v1" 0.0304 0.0201 0.0452 0.0345 0.0307 0.0592 0.0741 0.0495 0.0129 0.0202 0.0742 0.0776 0.0853 0.0814 0.045 0.0451 0.05 0.1094 0.0551
"GCF_000160495.1_ASM16049v1" 0.0328 0.0214 0.0415 0.0323 0.0308 0.0575 0.0781 0.0565 0.0117 0.02 0.0602 0.074 0.1123 0.0797 0.0388 0.0356 0.0534 0.1016 0.0619
"GCF_000025305.1_ASM2530v1" 0.034 0.0211 0.0405 0.0367 0.0386 0.0613 0.0675 0.056 0.0138 0.0231 0.0606 0.0757 0.0937 0.0849 0.0444 0.0299 0.0568 0.1061 0.0554
"GCF_000230275.1_ASM23027v1" 0.0358 0.023 0.0427 0.0358 0.0321 0.066 0.0671 0.0568 0.0133 0.0232 0.0659 0.0736 0.0918 0.0813 0.0425 0.0354 0.0588 0.1017 0.0532
"GCF_000024945.1_ASM2494v1" 0.0383 0.0222 0.0395 0.0483 0.0348 0.0634 0.0665 0.0601 0.0105 0.0207 0.0791 0.0792 0.0833 0.0778 0.0378 0.0388 0.0619 0.0938 0.0439
"GCF_000092945.1_ASM9294v1" 0.0346 0.0185 0.0417 0.0428 0.0336 0.0688 0.0712 0.0512 0.0124 0.02 0.0754 0.0804 0.0855 0.0792 0.0434 0.0318 0.0532 0.1033 0.053
"GCF_000018425.1_ASM1842v1" 0.0277 0.0205 0.0378 0.0264 0.0312 0.0382 0.0731 0.0501 0.0121 0.0171 0.0515 0.0911 0.1062 0.089 0.0522 0.0273 0.0505 0.1141 0.0838
