"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "S_avg"
"GCF_000020945.1_ASM2094v1" 0.2818 -0.1128 -0.4336 0.2851 0.2821 -0.3223 -0.3697 -0.2174 0.3357 1.5615 0.2859 0.0492
"GCF_000016905.1_ASM1690v1" 0.8677 0.7849 0.7936 0.4283 -1.3447 0.0213 -0.697 0.1355 0.3313 0.682 0.1197 0.5036
"GCF_000021285.1_ASM2128v1" 0.5112 1.3086 1.3238 0.8579 -1.3976 -0.336 -0.7979 0.5159 -0.2253 0.3838 0.1183 0.6733
"GCF_000017545.1_ASM1754v1" 1.4895 1.809 1.0907 0.9709 -0.9644 0.2626 -0.9933 1.043 -0.6608 1.0741 0.1223 0.8398
"GCA_000235405.3_ASM23540v3" 1.3491 2.9558 1.0116 1.024 0.2233 0.1843 -0.9139 0.5006 -0.2445 0.6564 0.2514 0.8185
"GCF_000017865.1_ASM1786v1" 0.3141 -0.3005 -0.124 0.1367 0.1028 0.0643 -0.0204 -0.4315 -1.2571 -0.1617 0.0792 0.078
"GCF_000217815.1_ASM21781v1" 0.2678 0.3458 0.2685 0.2116 0.388 0.057 -0.5316 0.2633 1.1094 0.4553 0.3501 0.2827
"GCF_000018945.1_ASM1894v1" 0.7548 1.1975 0.5872 1.1722 1.7961 0.7764 0.1703 0.4387 -0.6056 -0.3944 0.6462 0.7596
"GCF_000008545.1_ASM854v1" 1.3966 1.0415 0.5093 0.9556 2.5752 0.2095 -0.2695 0.1797 -0.4417 0.3887 0.6878 0.8563
"GCF_000255135.1_ASM25513v1" 1.8038 1.5278 1.3593 1.4031 1.0604 -0.252 -2.7409 0.838 -1.303 0.5266 0.9999 1.3807
"GCF_000018605.1_ASM1860v1" 0.57 0.0633 0.3848 0.1529 -0.663 0.4638 0.4433 -0.4843 0.0998 -0.6467 0.2504 0.3327
"GCF_000023325.1_ASM2332v1" 1.1208 0.6423 1.1435 0.818 1.7683 0.5493 -0.3115 0.7841 -1.5061 0.6763 0.8234 0.9559
"GCA_000147715.3_ASM14771v3" 0.48 -0.1169 1.0014 0.7872 0.7744 0.0994 0.0294 0.4204 0.0992 0.4312 0.4035 0.7019
"GCF_000212395.1_ASM21239v1" 0.6452 0.3283 0.3574 1.0468 0.0613 0.8075 0.0297 0.2678 0.2671 0.6004 0.6329 0.6535
"GCF_000020965.1_ASM2096v1" -0.262 -0.1415 0.0773 -0.8198 -0.0246 0.0196 -0.0919 -0.0786 -0.4517 0.3603 0.3087 -0.1379
"GCF_000021645.1_ASM2164v1" -0.0333 0.0367 -0.9296 -1.5783 1.4363 0.3805 0.7531 -0.9646 -0.3605 0.4457 -0.1322 -0.6566
"GCF_000266925.1_ASM26692v1" 0.5455 0.8273 1.0216 0.7247 0.4735 0.7655 0.4156 0.4548 0.5855 1.4919 0.7509 0.7822
"GCF_000233775.1_ASM23377v1" 0.7656 0.5787 0.9761 0.8868 1.9432 1.6429 0.9061 0.3828 0.8877 1.4707 0.8822 0.8821
"GCF_000024905.1_ASM2490v1" 1.1417 0.7215 0.5543 0.4699 0.5165 0.3357 0.6739 0.3421 0.2158 -0.2475 0.8094 0.725
"GCA_000210715.1_ASM21071v1" 1.1586 1.2361 1.4211 1.8658 2.0683 1.8119 1.2356 0.6912 1.3054 1.7244 1.0859 1.353
"GCF_000025885.1_ASM2588v1" 0.9065 0.6359 0.7783 1.3125 0.9741 0.5373 0.4431 0.8469 0.682 1.3305 0.6388 0.9117
"GCF_000160495.1_ASM16049v1" 0.2424 -0.062 1.0384 0.9699 1.8267 1.6255 0.4235 0.3693 -0.026 2.2274 0.4319 0.6626
"GCF_000025305.1_ASM2530v1" 0.2861 -0.2343 0.7261 0.3883 1.0326 0.0629 -1.1975 -0.0305 0.6063 0.0221 0.454 0.4839
"GCF_000230275.1_ASM23027v1" 0.2368 -0.0062 1.3416 1.0086 0.5697 0.0875 -1.5868 0.0255 2.2671 1.2389 0.6438 0.78
"GCF_000024945.1_ASM2494v1" 1.3239 0.5836 2.1668 1.8824 -2.5402 -2.0638 -2.1003 0.9464 0.5584 1.4584 1.3895 1.701
"GCF_000092945.1_ASM9294v1" 0.2913 -0.0848 0.1425 0.4131 0.3516 0.0586 -0.5545 0.4341 -0.2618 0.4319 0.0886 0.2049
