"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "Val" "Ala" "Gly" "Pro" "Ser" "Thr" "Leu" "Arg"
"GCF_000020945.1_ASM2094v1" 1.8515 1.9658 2 1.8723 1.9885 1.9996 1.9275 2 1.8536 1.9433 2.9568 3.7078 3.667 3.7566 3.7594 3.7779 3.9093 5.5586 5.5066
"GCF_000016905.1_ASM1690v1" 1.9026 1.9186 1.9681 1.9209 1.981 1.9948 1.9658 1.9829 2.0004 1.9936 2.978 3.8476 3.758 3.9635 3.8625 3.9017 3.8565 5.2966 4.7847
"GCF_000021285.1_ASM2128v1" 1.9069 1.8857 1.979 1.9589 1.9988 2 1.9677 1.9976 1.9697 1.9157 2.963 3.7936 3.6765 3.937 3.7481 3.8775 3.876 5.2743 4.6147
"GCF_000017545.1_ASM1754v1" 1.6852 1.908 1.9893 1.9616 1.9596 1.996 1.9596 1.9771 1.9767 1.9826 2.9665 3.6219 3.9494 3.83 3.6088 3.962 3.7495 5.0075 5.005
"GCA_000235405.3_ASM23540v3" 1.773 1.9357 1.9775 1.8508 1.9877 1.9984 1.9429 1.998 1.9992 1.9952 2.9967 3.6179 3.8081 3.7439 3.7341 3.9714 3.785 5.071 5.2002
"GCF_000017865.1_ASM1786v1" 1.9869 1.9818 2 1.9948 1.8305 1.8839 1.9414 1.9339 1.8543 1.8808 2.9638 3.7327 3.8895 3.92 3.8402 3.9401 3.7552 4.8567 4.6751
"GCF_000217815.1_ASM21781v1" 1.7794 1.9139 1.9996 1.6678 1.9179 1.9673 1.8706 1.96 1.9486 1.8779 2.9499 3.3201 3.9216 3.69 3.5765 4 3.9277 4.0486 4.8286
"GCF_000018945.1_ASM1894v1" 1.7915 1.9455 1.9786 1.7461 1.5596 1.9782 1.9015 1.9139 1.8152 1.9493 2.7894 3.2906 3.8775 2.9542 3.9761 3.6805 3.8314 4.0683 3.9841
"GCF_000008545.1_ASM854v1" 1.7848 1.9001 1.9459 1.8433 1.5883 1.9685 1.8657 1.8939 1.8567 1.9964 2.8653 3.3003 3.9809 2.978 3.9777 3.6982 3.9324 4.1459 3.8314
"GCF_000255135.1_ASM25513v1" 1.9881 2.0004 1.9996 1.9984 1.6215 1.998 1.9128 1.9904 1.9992 1.7018 2.9931 3.7707 3.8329 3.9216 3.9139 3.8168 3.4662 5.2029 5.0659
"GCF_000018605.1_ASM1860v1" 1.9316 1.9992 1.9972 1.9395 1.9505 1.9732 1.947 1.9543 1.9932 1.9996 2.9869 3.8153 3.9062 3.9526 3.8462 3.8358 3.8715 5.3191 4.9727
"GCF_000023325.1_ASM2332v1" 1.9853 1.9992 1.9912 1.9802 1.8086 1.9619 1.8804 1.912 1.9992 1.9369 2.9656 3.7023 3.9463 3.8344 3.992 3.9216 3.7037 5.0891 5.2438
"GCA_000147715.3_ASM14771v3" 1.9826 1.9992 1.9216 1.9845 1.7394 1.9342 1.9689 1.9701 1.9786 1.9414 2.9985 3.8745 3.9047 3.5689 3.9952 3.973 3.9809 4.9529 4.1152
"GCF_000212395.1_ASM21239v1" 1.9988 1.6981 1.9164 1.9117 1.9865 1.9924 1.9924 1.9952 1.9724 1.5475 2.9577 3.864 3.8153 3.7023 3.8095 3.7979 3.8911 5.3967 4.1
"GCF_000020965.1_ASM2096v1" 1.9996 2 1.9968 1.9948 1.998 1.9857 1.9516 1.9853 2.0004 1.9736 2.97 3.87 3.6697 3.6563 3.3014 3.3852 3.413 5.2138 3.9904
"GCF_000021645.1_ASM2164v1" 1.998 1.9988 1.9877 1.9984 2 1.99 1.965 1.99 2.0004 1.9501 2.9815 3.8506 3.6982 3.5211 3.2227 3.2895 3.2031 5.005 3.9604
"GCF_000266925.1_ASM26692v1" 1.9869 1.8868 1.8021 1.9984 2 1.9948 1.9681 1.9436 1.9704 1.6215 2.7189 3.9984 3.6101 3.663 3.7936 3.9124 3.8536 5.144 5.1653
"GCF_000233775.1_ASM23377v1" 1.994 1.9992 1.998 1.9095 1.9873 2 1.9968 1.9704 1.9916 1.8292 2.4704 3.917 3.6657 3.8417 3.4674 3.5051 3.635 5.1203 5.0201
"GCF_000024905.1_ASM2490v1" 1.9806 1.99 1.947 1.9109 1.9497 1.9279 1.9384 1.8741 1.9354 1.9249 1.4184 3.5651 3.4868 3.7779 3.4746 3.0003 2.5714 4.9975 5.1921
"GCA_000210715.1_ASM21071v1" 1.9689 1.9853 1.8692 1.9944 1.9928 1.9429 1.9685 1.9944 1.9948 1.9402 2.9386 3.9463 3.9793 3.5804 3.9793 3.7411 3.5958 4.7259 5.5835
"GCF_000025885.1_ASM2588v1" 1.9743 1.9654 1.9478 1.9904 1.8169 1.9242 1.8825 1.9802 1.9312 1.7464 2.9824 3.8926 3.7651 3.6536 3.7722 3.7175 3.7636 5.0176 5.9277
"GCF_000160495.1_ASM16049v1" 1.7787 1.5848 1.996 1.8804 1.9701 2 1.7256 1.8126 1.9113 1.9231 2.751 3.7397 3.5587 3.0066 3.6284 3.7064 2.5582 5.1975 3.7622
"GCF_000025305.1_ASM2530v1" 1.679 1.4815 1.9952 1.9436 1.6841 1.5623 0.835 1.7173 1.9984 1.9562 2.5113 3.0703 3.2248 3.8551 3.6258 2.5 2.9851 2.9163 2.6969
