"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "Val" "Ala" "Gly" "Pro" "Ser" "Thr" "Leu" "Arg"
"GCF_000020945.1_ASM2094v1" 1.8362 2.0995 1.8643 1.8553 1.9444 1.9822 1.8225 1.9547 1.9305 1.3122 3.0488 3.6724 3.5765 3.7622 4.1339 3.1556 4.1528 5.4466 5.0327
"GCF_000016905.1_ASM1690v1" 1.3922 1.5191 1.9826 1.7643 1.8325 1.994 1.912 1.998 2.1744 1.8245 2.6028 3.3738 3.0257 3.7341 2.7435 3.7566 3.3467 4.1051 4.3422
"GCF_000021285.1_ASM2128v1" 1.7575 1.1257 1.7422 1.6189 1.8914 2.0024 1.9309 1.9964 2.0951 1.8748 2.4624 3.42 3.2113 3.5361 2.8935 3.8956 3.4282 3.4459 3.5778
"GCF_000017545.1_ASM1754v1" 1.1858 1.2216 1.7603 1.7492 1.8986 1.8608 1.8678 1.9685 1.8454 1.7618 2.7701 2.6316 3.51 2.6918 2.5394 3.7425 2.4661 3.1928 3.56
"GCA_000235405.3_ASM23540v3" 1.2661 0.9885 1.6706 1.4732 1.9524 1.9015 1.8077 2.004 1.9414 1.9482 2.5954 2.6717 3.1706 2.7174 2.5183 4.0984 2.6788 2.9727 3.864
"GCF_000017865.1_ASM1786v1" 1.858 2.0708 2.0284 1.965 1.7446 1.9497 1.979 1.8815 1.9928 1.9889 2.9833 3.2531 3.7538 4.0833 3.5562 3.7679 3.6778 4.5579 3.6311
"GCF_000217815.1_ASM21781v1" 1.6892 1.8525 2.0178 1.6021 2.0227 2.0105 1.7928 2.0092 1.428 1.7036 2.8458 2.7964 3.8551 3.3535 3.9432 4.0783 3.7764 2.9895 4.5872
"GCF_000018945.1_ASM1894v1" 1.7461 1.7565 1.972 1.6008 1.2142 1.9298 1.919 1.9309 1.1781 1.5006 2.7832 3.1949 3.7147 2.2311 3.8476 3.1746 4.0209 4.0161 3.6657
"GCF_000008545.1_ASM854v1" 1.4988 1.7185 1.9194 1.6559 1.0309 2.0109 1.7715 1.8322 1.4294 2.0907 2.686 2.8727 3.867 2.4685 3.5174 2.9087 3.9809 3.5051 2.7548
"GCF_000255135.1_ASM25513v1" 1.5603 1.6126 1.6858 1.6335 0.6246 2.0016 1.7565 2.002 1.7068 1.7106 2.1368 3.0703 3.3434 3.1817 3.06 2.613 2.3827 4.1736 4.0016
"GCF_000018605.1_ASM1860v1" 1.5406 2.0313 1.9414 1.8379 1.7053 2.008 1.9988 1.8692 2.0756 1.9952 2.9155 3.811 3.83 3.8402 3.5881 2.8818 3.9667 5.1073 4.3995
"GCF_000023325.1_ASM2332v1" 1.7535 2.0362 1.7593 1.8822 1.0857 1.9956 1.7129 2.0032 1.2749 1.9059 2.7724 2.572 3.6049 3.3568 4.0816 3.2175 3.34 3.9262 3.3841
"GCA_000147715.3_ASM14771v3" 2.0137 1.8539 1.7809 1.9482 1.5681 1.9936 1.8907 1.9414 2.0886 2.0044 2.784 3.8417 3.9355 3.5448 3.34 3.8595 3.8805 4.1632 3.0902
"GCF_000212395.1_ASM21239v1" 2.008 1.8103 1.8904 1.5184 2.0292 1.6742 2.0101 2.0218 2.0868 1.4384 2.858 3.4795 3.2595 3.2852 2.9525 3.3058 3.6617 4.2753 3.8285
"GCF_000020965.1_ASM2096v1" 2.0125 2.0509 2.0202 1.9399 2.0317 2.0088 2.0052 1.9988 2.0661 1.8426 2.7925 3.9432 3.8926 3.7538 2.8555 2.6035 2.7785 5.0684 3.9463
"GCF_000021645.1_ASM2164v1" 2.0008 2.03 1.9077 1.8512 1.4912 1.9704 1.7355 1.9022 2.1084 1.5389 2.4673 3.9139 3.4965 2.6185 2.9104 2.4414 2.8482 3.4662 4.4903
"GCF_000266925.1_ASM26692v1" 2.008 2.0239 1.9904 2.0153 2.0268 1.9505 1.967 1.8957 2.0425 1.554 2.0346 3.7908 3.3523 3.3841 3.399 3.1466 3.2552 4.1254 4.4307
"GCF_000233775.1_ASM23377v1" 1.9539 2.0358 1.9391 1.7886 1.5598 1.6883 1.9658 1.9512 1.9596 1.5333 2.2862 3.7147 3.5727 3.2637 3.2712 2.9499 3.0093 4.8263 4.8828
"GCF_000024905.1_ASM2490v1" 1.9091 2.0338 1.9436 1.932 1.9361 1.9294 1.9048 1.9037 1.947 2.03 1.0557 3.5199 3.2552 3.8491 2.9931 2.3815 2.1496 4.3687 5.0839
"GCA_000210715.1_ASM21071v1" 2.0153 2.0346 2.0125 1.947 1.9786 2.004 1.9964 1.9806 2.0346 1.955 2.9446 3.9809 3.9216 2.9586 3.8476 2.9053 3.268 3.6496 3.1939
"GCF_000025885.1_ASM2588v1" 2.0105 2.0479 2.0141 1.6964 1.5475 1.9928 1.9327 2.0028 1.9223 1.4327 3.0303 3.7133 3.917 3.8373 4.1034 3.1696 3.5499 3.4329 5.2798
"GCF_000160495.1_ASM16049v1" 1.7476 1.3026 1.9161 2.0008 1.8769 1.9257 1.5349 1.8543 2.0169 1.6305 2.7367 3.2605 3.0779 2.412 2.8802 3.3389 1.9543 4.914 2.3175
"GCF_000025305.1_ASM2530v1" 1.6869 1.0959 1.9861 1.992 1.5559 1.5929 0.6217 1.4824 2.0317 2.0358 2.3164 2.8281 2.582 3.6417 3.4083 1.8484 2.3725 2.4184 2.2512
"GCF_000230275.1_ASM23027v1" 1.8515 1.6348 1.8146 1.842 1.6753 1.9924 0.9424 1.8636 1.2441 1.4725 2.2237 3.5932 2.7382 3.1656 2.592 2.0982 3.0303 3.3411 3.7722
"GCF_000024945.1_ASM2494v1" 1.7053 2.0342 1.0532 1.347 1.5886 1.6863 1.665 1.9912 2.0636 1.3528 1.4963 2.9163 2.956 2.4534 2.7108 1.9984 2.7174 1.4579 2.206
"GCF_000092945.1_ASM9294v1" 2.0276 1.908 1.7584 1.9677 1.6316 1.89 1.4738 2.0048 2.0442 1.9227 2.7108 3.375 3.1143 3.0998 3.4542 3.1636 2.9568 3.7411 4.4924
"GCF_000018425.1_ASM1842v1" 1.9976 2.0028 1.8943 1.9666 2.0113 1.8447 1.3108 2.0032 1.8491 2.0068 2.7816 3.4783 3.5907 3.1636 2.8241 3.8081 2.5641 4.0193 4.3573
"GCF_000024605.1_ASM2460v1" 1.9775 1.7844 2.0117 1.8443 1.9372 2.004 1.7185 2.0068 1.9596 1.9736 2.978 3.6603 3.667 3.459 3.83 3.0544 3.0581 5.4171 5.6433
"GCF_000016165.1_ASM1616v1" 1.9908 1.7153 1.8396 1.4857 2.0072 1.9786 1.6176 2.0048 1.8825 1.8155 2.4716 2.9308 3.1928 2.8944 3.2383 2.4295 2.4231 2.907 2.8868
"GCF_000215085.1_ASM21508v1" 1.9857 2.0092 1.5588 1.9592 1.9331 1.5686 1.2913 1.9286 1.8477 1.7458 2.0708 3.2383 3.4376 3.8153 3.3289 2.2609 2.2915 2.7427 3.7566
