"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "Val" "Ala" "Gly" "Pro" "Ser" "Thr" "Leu" "Arg"
"GCF_000020945.1_ASM2094v1" 0.0357 0.0164 0.0566 0.0387 0.0208 0.0767 0.0938 0.0588 0.0082 0.0216 0.0648 0.0961 0.0678 0.0611 0.038 0.0313 0.0387 0.1191 0.0558
"GCF_000016905.1_ASM1690v1" 0.0339 0.0088 0.0414 0.0449 0.0207 0.0893 0.0827 0.0612 0.0053 0.0189 0.0783 0.0845 0.0985 0.0893 0.0396 0.0308 0.0585 0.0867 0.0268
"GCF_000021285.1_ASM2128v1" 0.0353 0.0125 0.0431 0.0376 0.0293 0.0854 0.0901 0.0613 0.0055 0.0114 0.0724 0.0875 0.0885 0.0875 0.0496 0.0278 0.0504 0.0854 0.0395
"GCF_000017545.1_ASM1754v1" 0.034 0.0123 0.0315 0.0355 0.0251 0.0935 0.098 0.0532 0.0069 0.0172 0.0734 0.094 0.097 0.0871 0.0438 0.0182 0.0556 0.0827 0.0409
"GCA_000235405.3_ASM23540v3" 0.0367 0.0113 0.0367 0.042 0.0237 0.0947 0.0947 0.0567 0.0067 0.0127 0.08 0.093 0.0927 0.0794 0.0467 0.0227 0.055 0.076 0.0387
"GCF_000017865.1_ASM1786v1" 0.0305 0.0199 0.0477 0.0404 0.0298 0.0835 0.0702 0.0437 0.0139 0.0133 0.0987 0.0908 0.0795 0.0729 0.0325 0.0298 0.0464 0.1153 0.0411
"GCF_000217815.1_ASM21781v1" 0.027 0.0103 0.0324 0.0363 0.0275 0.0937 0.1108 0.0633 0.0088 0.0167 0.0814 0.0873 0.0888 0.0682 0.0358 0.0216 0.0407 0.0927 0.0569
"GCF_000018945.1_ASM1894v1" 0.0412 0.0164 0.0468 0.0351 0.0215 0.0857 0.111 0.0431 0.0122 0.0122 0.0815 0.1058 0.0609 0.0641 0.0342 0.029 0.0492 0.0922 0.0581
"GCF_000008545.1_ASM854v1" 0.0364 0.0104 0.0405 0.0364 0.0218 0.0951 0.1044 0.0629 0.0083 0.0125 0.0748 0.1039 0.0769 0.0779 0.0343 0.0281 0.0452 0.0842 0.0462
"GCF_000255135.1_ASM25513v1" 0.0437 0.0123 0.0436 0.0429 0.0241 0.0817 0.0821 0.0657 0.0029 0.0095 0.0639 0.0894 0.0976 0.0868 0.0447 0.0356 0.0552 0.0836 0.0346
"GCF_000018605.1_ASM1860v1" 0.0475 0.0151 0.0512 0.0557 0.0184 0.0933 0.0741 0.0586 0.0103 0.01 0.0851 0.0671 0.0667 0.0619 0.0468 0.0538 0.0446 0.1047 0.035
"GCF_000023325.1_ASM2332v1" 0.0351 0.0133 0.0444 0.0395 0.0246 0.0847 0.0948 0.0609 0.0032 0.0141 0.0831 0.0823 0.09 0.0839 0.0484 0.0315 0.0508 0.0823 0.0331
"GCA_000147715.3_ASM14771v3" 0.0332 0.0116 0.0714 0.0395 0.0235 0.0498 0.0658 0.0373 0.0056 0.0244 0.1005 0.0896 0.0799 0.0658 0.0448 0.0482 0.0529 0.1084 0.0479
"GCF_000212395.1_ASM21239v1" 0.0418 0.0097 0.0724 0.0573 0.0238 0.0714 0.0427 0.0447 0.0112 0.0165 0.0763 0.0801 0.0801 0.0996 0.0432 0.0471 0.0481 0.1025 0.0316
"GCF_000020965.1_ASM2096v1" 0.0433 0.0169 0.0433 0.0381 0.0255 0.0805 0.0887 0.0571 0.0091 0.0173 0.1082 0.0623 0.0494 0.0623 0.0442 0.0407 0.0472 0.1152 0.0506
"GCF_000021645.1_ASM2164v1" 0.0561 0.0107 0.0421 0.0446 0.0309 0.0802 0.0639 0.0639 0.0054 0.0271 0.0891 0.0735 0.0542 0.1157 0.0322 0.0454 0.0572 0.0735 0.0344
"GCF_000266925.1_ASM26692v1" 0.0303 0.0166 0.0425 0.0362 0.0376 0.0782 0.0758 0.0684 0.0161 0.0161 0.066 0.0816 0.0846 0.086 0.0337 0.0342 0.045 0.0929 0.0582
"GCF_000233775.1_ASM23377v1" 0.0357 0.0192 0.0426 0.0323 0.0268 0.0739 0.079 0.0656 0.0089 0.0155 0.0704 0.089 0.0969 0.0945 0.0371 0.0282 0.0532 0.0859 0.0453
"GCF_000024905.1_ASM2490v1" 0.0248 0.0107 0.0394 0.0246 0.0306 0.0662 0.078 0.0514 0.0101 0.0137 0.0621 0.1007 0.0968 0.0885 0.0381 0.0546 0.0407 0.1094 0.0595
"GCA_000210715.1_ASM21071v1" 0.0315 0.0147 0.037 0.0381 0.0327 0.083 0.0748 0.0647 0.0127 0.0124 0.0601 0.0804 0.1134 0.0895 0.0403 0.0373 0.0594 0.0776 0.0403
"GCF_000025885.1_ASM2588v1" 0.0319 0.0128 0.0437 0.0422 0.0286 0.0664 0.0819 0.0653 0.0117 0.0209 0.0558 0.0914 0.1087 0.0951 0.0312 0.0305 0.0426 0.083 0.0562
"GCF_000160495.1_ASM16049v1" 0.0317 0.0169 0.0373 0.0466 0.0326 0.0832 0.0782 0.0723 0.0126 0.0135 0.0658 0.0784 0.1067 0.0811 0.0353 0.0346 0.0581 0.0766 0.0384
"GCF_000025305.1_ASM2530v1" 0.0305 0.0131 0.0446 0.0308 0.0436 0.0865 0.0777 0.0647 0.0097 0.0184 0.0607 0.0848 0.0905 0.0751 0.0379 0.0238 0.0489 0.1133 0.0456
"GCF_000230275.1_ASM23027v1" 0.0446 0.0212 0.0389 0.0429 0.0301 0.089 0.0809 0.065 0.0161 0.0195 0.0544 0.0739 0.1066 0.09 0.0327 0.0276 0.0497 0.0796 0.0374
"GCF_000024945.1_ASM2494v1" 0.032 0.016 0.0452 0.0508 0.0382 0.0742 0.0794 0.0702 0.0092 0.0065 0.0585 0.0871 0.1092 0.0932 0.0338 0.0366 0.0542 0.0649 0.0409
"GCF_000092945.1_ASM9294v1" 0.0261 0.0122 0.0298 0.0359 0.033 0.0971 0.1008 0.0579 0.011 0.0167 0.0894 0.0771 0.0775 0.0734 0.031 0.0241 0.0522 0.0955 0.0592
