"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "Val" "Ala" "Gly" "Pro" "Ser" "Thr" "Leu" "Arg"
"GCF_000020945.1_ASM2094v1" 0.0353 0.0175 0.0456 0.0384 0.0339 0.0613 0.074 0.0527 0.0081 0.0265 0.0658 0.0903 0.0795 0.0753 0.0447 0.0372 0.0539 0.1122 0.0476
"GCF_000016905.1_ASM1690v1" 0.045 0.0139 0.0594 0.0572 0.0203 0.1009 0.0806 0.0512 0.0064 0.0191 0.1018 0.0719 0.0509 0.0631 0.0332 0.041 0.0469 0.1004 0.037
"GCF_000021285.1_ASM2128v1" 0.0461 0.0136 0.0585 0.0577 0.0215 0.0996 0.0809 0.0522 0.006 0.0206 0.1007 0.0709 0.0521 0.0622 0.0333 0.0428 0.0455 0.0996 0.0363
"GCF_000017545.1_ASM1754v1" 0.045 0.0148 0.0535 0.0528 0.0255 0.0886 0.0807 0.0516 0.0069 0.0206 0.0953 0.0766 0.0572 0.0655 0.0353 0.0419 0.0504 0.0973 0.0404
"GCA_000235405.3_ASM23540v3" 0.044 0.0157 0.0534 0.0466 0.0267 0.082 0.0796 0.0506 0.007 0.0206 0.0853 0.0827 0.0631 0.0678 0.0375 0.0401 0.0527 0.1008 0.0438
"GCF_000017865.1_ASM1786v1" 0.0381 0.0166 0.0541 0.0446 0.0297 0.077 0.0725 0.0517 0.0099 0.0208 0.0897 0.0783 0.0663 0.0671 0.038 0.0466 0.049 0.1036 0.0463
"GCF_000217815.1_ASM21781v1" 0.0377 0.0154 0.0537 0.0402 0.0304 0.0818 0.0768 0.0487 0.0101 0.0203 0.0812 0.0863 0.07 0.0675 0.0391 0.0385 0.0484 0.1082 0.0459
"GCF_000018945.1_ASM1894v1" 0.0369 0.0167 0.0543 0.036 0.0207 0.0759 0.0914 0.0514 0.0075 0.0177 0.0731 0.09 0.0603 0.072 0.0411 0.0422 0.0475 0.1055 0.0599
"GCF_000008545.1_ASM854v1" 0.0371 0.0164 0.0541 0.0374 0.0208 0.0783 0.0925 0.0515 0.0073 0.0176 0.0744 0.0898 0.0605 0.0714 0.0413 0.0412 0.0469 0.1046 0.0569
"GCF_000255135.1_ASM25513v1" 0.0502 0.0142 0.0557 0.0637 0.0205 0.1022 0.0846 0.0545 0.0048 0.016 0.1083 0.0607 0.0518 0.0606 0.0325 0.0426 0.048 0.0962 0.0326
"GCF_000018605.1_ASM1860v1" 0.0442 0.0142 0.0533 0.0592 0.0279 0.0887 0.0829 0.0549 0.0063 0.0199 0.0955 0.0667 0.0539 0.0639 0.0352 0.0454 0.0499 0.1013 0.0367
"GCF_000023325.1_ASM2332v1" 0.0396 0.0163 0.0527 0.0429 0.0224 0.0806 0.081 0.0522 0.0077 0.0201 0.0855 0.0755 0.0646 0.0706 0.0396 0.0423 0.0503 0.1055 0.0506
"GCA_000147715.3_ASM14771v3" 0.0356 0.0152 0.0523 0.0393 0.023 0.0613 0.0794 0.056 0.0082 0.0235 0.0791 0.0782 0.0687 0.0766 0.0391 0.0539 0.0504 0.1046 0.0555
"GCF_000212395.1_ASM21239v1" 0.0381 0.0145 0.0596 0.0561 0.0244 0.0859 0.07 0.0539 0.0114 0.0221 0.0954 0.0661 0.0591 0.0636 0.0368 0.0514 0.0453 0.106 0.0404
"GCF_000020965.1_ASM2096v1" 0.0454 0.014 0.0532 0.0494 0.0221 0.0879 0.084 0.0507 0.0074 0.0192 0.1001 0.0677 0.0531 0.068 0.0412 0.0395 0.0432 0.1083 0.0458
"GCF_000021645.1_ASM2164v1" 0.0449 0.0141 0.0526 0.0489 0.0224 0.0881 0.0848 0.0501 0.0071 0.0187 0.1007 0.0672 0.0537 0.0687 0.0414 0.0395 0.0434 0.1081 0.0455
"GCF_000266925.1_ASM26692v1" 0.0319 0.0182 0.0424 0.034 0.0267 0.0638 0.0716 0.0558 0.014 0.0212 0.0741 0.0809 0.0857 0.0823 0.0451 0.0412 0.0456 0.1098 0.0557
"GCF_000233775.1_ASM23377v1" 0.0297 0.018 0.0424 0.0334 0.0267 0.0702 0.0802 0.0511 0.0126 0.0212 0.0692 0.0817 0.0836 0.0819 0.0452 0.0416 0.0463 0.1092 0.056
"GCF_000024905.1_ASM2490v1" 0.0236 0.0189 0.0371 0.0232 0.028 0.0365 0.0708 0.0564 0.0133 0.0165 0.049 0.0929 0.0929 0.1003 0.0519 0.0493 0.0404 0.1162 0.0828
"GCA_000210715.1_ASM21071v1" 0.0271 0.0173 0.0409 0.0298 0.0283 0.0423 0.0696 0.0565 0.0141 0.0202 0.052 0.0809 0.1102 0.0899 0.0472 0.0387 0.0507 0.1105 0.0739
"GCF_000025885.1_ASM2588v1" 0.0304 0.0201 0.0452 0.0346 0.0307 0.0592 0.0741 0.0495 0.0129 0.0202 0.0741 0.0777 0.0854 0.0814 0.045 0.0451 0.05 0.1093 0.0551
"GCF_000160495.1_ASM16049v1" 0.0328 0.0213 0.0414 0.0324 0.0308 0.0577 0.0781 0.0566 0.0117 0.0199 0.0603 0.074 0.1123 0.0797 0.0387 0.0356 0.0535 0.1014 0.0617
"GCF_000025305.1_ASM2530v1" 0.0339 0.021 0.0405 0.0367 0.0386 0.0614 0.0676 0.056 0.0138 0.023 0.0606 0.0758 0.0937 0.0849 0.0444 0.0299 0.0567 0.1061 0.0554
"GCF_000230275.1_ASM23027v1" 0.0359 0.023 0.0427 0.0359 0.0321 0.0662 0.0672 0.0569 0.0134 0.0232 0.0658 0.0736 0.0919 0.0813 0.0424 0.0353 0.0588 0.1016 0.0531
"GCF_000024945.1_ASM2494v1" 0.0383 0.0221 0.0395 0.0483 0.0348 0.0635 0.0666 0.0602 0.0105 0.0206 0.079 0.0793 0.0835 0.0779 0.0378 0.0388 0.0619 0.0936 0.0439
"GCF_000092945.1_ASM9294v1" 0.0346 0.0185 0.0417 0.0428 0.0336 0.0689 0.0713 0.0512 0.0124 0.02 0.0754 0.0804 0.0855 0.0792 0.0434 0.0317 0.0532 0.1032 0.053
"GCF_000018425.1_ASM1842v1" 0.0277 0.0205 0.0379 0.0265 0.0312 0.0383 0.0731 0.0501 0.0121 0.0171 0.0516 0.0912 0.1061 0.089 0.0522 0.0273 0.0505 0.114 0.0836
"GCF_000024605.1_ASM2460v1" 0.0297 0.0181 0.0398 0.0229 0.0293 0.0487 0.0838 0.0407 0.0134 0.0175 0.0464 0.0886 0.0999 0.085 0.0554 0.0294 0.045 0.1236 0.0826
"GCF_000016165.1_ASM1616v1" 0.0338 0.0191 0.0403 0.0448 0.0414 0.0687 0.0711 0.0499 0.0122 0.0218 0.077 0.0769 0.0796 0.077 0.0417 0.0353 0.0548 0.1061 0.0485
"GCF_000215085.1_ASM21508v1" 0.0331 0.0193 0.041 0.04 0.0416 0.0627 0.0719 0.0485 0.0123 0.0215 0.0712 0.0766 0.0842 0.0797 0.0442 0.0356 0.053 0.1103 0.0535
"GCA_000010565.1_ASM1056v1" 0.032 0.0174 0.0405 0.0344 0.0312 0.0581 0.0748 0.0477 0.0132 0.0211 0.0637 0.0809 0.098 0.0875 0.0476 0.0311 0.0466 0.1074 0.067
"GCA_000233715.3_ASM23371v3" 0.036 0.0197 0.04 0.0444 0.0379 0.0614 0.0685 0.0542 0.0135 0.0228 0.074 0.0774 0.0838 0.079 0.0433 0.0324 0.0535 0.1039 0.0543
"GCF_000024205.1_ASM2420v1" 0.0373 0.0182 0.0412 0.0493 0.037 0.0697 0.0692 0.0529 0.0132 0.0246 0.0789 0.0725 0.0772 0.0732 0.0392 0.0382 0.0533 0.1051 0.0496
"GCF_000012865.1_ASM1286v1" 0.0375 0.0155 0.0469 0.0422 0.0291 0.0798 0.0818 0.044 0.0092 0.0191 0.0771 0.0775 0.0792 0.0776 0.0433 0.0282 0.0497 0.114 0.0482
"GCF_000092405.1_ASM9240v1" 0.0327 0.0175 0.038 0.0331 0.0345 0.0544 0.0779 0.0514 0.0132 0.0213 0.0638 0.0901 0.0886 0.0825 0.0445 0.0328 0.0505 0.1066 0.0667
"GCF_000014725.1_ASM1472v1" 0.0364 0.0176 0.0409 0.0445 0.0396 0.0632 0.0774 0.0531 0.0125 0.0298 0.0796 0.0673 0.0804 0.0737 0.0406 0.0335 0.0456 0.1096 0.0546
"GCF_000013105.1_ASM1310v1" 0.0314 0.018 0.0356 0.0314 0.0368 0.0439 0.0699 0.0469 0.0109 0.0214 0.0624 0.0796 0.1077 0.0887 0.052 0.0238 0.0517 0.1171 0.0708
"GCF_000512895.1_ASM51289v1" 0.0364 0.0179 0.0427 0.0448 0.0386 0.0675 0.072 0.0525 0.0129 0.0241 0.0809 0.0699 0.0795 0.0737 0.0392 0.0392 0.0546 0.1052 0.0486
"GCF_000190635.1_ASM19063v1" 0.0355 0.0179 0.0432 0.0425 0.0377 0.0663 0.0738 0.0525 0.012 0.0239 0.0788 0.0693 0.0826 0.077 0.0385 0.0385 0.054 0.1059 0.0501
"GCA_000255115.3_ASM25511v3" 0.0337 0.0192 0.0429 0.0449 0.0403 0.0629 0.0687 0.0497 0.0114 0.0234 0.0777 0.0726 0.0785 0.0767 0.0413 0.0426 0.0561 0.1092 0.0482
"GCF_000235605.1_ASM23560v1" 0.0343 0.0187 0.0428 0.0437 0.0387 0.0641 0.071 0.0509 0.0124 0.0239 0.0786 0.0734 0.0809 0.0776 0.0408 0.0399 0.0539 0.1079 0.0468
"GCA_000231385.3_ASM23138v3" 0.0339 0.0182 0.0425 0.0439 0.0391 0.0644 0.0717 0.0508 0.0113 0.0242 0.0789 0.074 0.0784 0.0766 0.04 0.0408 0.055 0.1095 0.0469
"GCA_000243135.3_ASM24313v3" 0.0348 0.0196 0.0421 0.0412 0.0406 0.0628 0.0751 0.0517 0.0113 0.0235 0.0758 0.0735 0.0801 0.0772 0.0415 0.038 0.0546 0.1081 0.0485
"GCA_000243155.3_ASM24315v3" 0.0352 0.02 0.0425 0.0412 0.0396 0.0634 0.0752 0.0512 0.0116 0.0229 0.0767 0.0722 0.0799 0.0786 0.0422 0.0382 0.0538 0.1075 0.0481
"GCF_000010045.1_ASM1004v1" 0.0356 0.0199 0.0421 0.0393 0.0409 0.061 0.074 0.0506 0.0124 0.0239 0.0729 0.0712 0.085 0.0793 0.0428 0.0365 0.0537 0.1091 0.0499
"GCA_000231405.3_ASM23140v3" 0.0332 0.0197 0.0427 0.0429 0.0433 0.0636 0.074 0.0491 0.0101 0.0224 0.077 0.0739 0.0775 0.0762 0.0417 0.0405 0.0552 0.1096 0.0471
"GCF_000019165.1_ASM1916v1" 0.0286 0.0198 0.0381 0.0311 0.0379 0.0505 0.0712 0.0542 0.0115 0.019 0.0621 0.0777 0.1034 0.0829 0.0482 0.035 0.0532 0.1056 0.0698
"GCF_000213255.1_ASM21325v1" 0.0427 0.0182 0.0395 0.0462 0.0353 0.0631 0.0642 0.0669 0.0114 0.0241 0.0884 0.0726 0.0844 0.0746 0.0413 0.0353 0.0508 0.0923 0.0483
"GCF_000007085.1_ASM708v1" 0.0416 0.015 0.0452 0.0452 0.0244 0.0916 0.0865 0.051 0.0082 0.0199 0.0925 0.0779 0.067 0.0705 0.0368 0.0347 0.0476 0.0991 0.0453
"GCA_000147695.3_ASM14769v3" 0.0424 0.0148 0.0443 0.0513 0.0261 0.0915 0.0812 0.0541 0.0084 0.02 0.0992 0.0745 0.066 0.0692 0.0353 0.0354 0.0493 0.0966 0.0402
"GCF_000019085.1_ASM1908v1" 0.0423 0.015 0.0442 0.0506 0.0264 0.0924 0.0817 0.0539 0.0085 0.02 0.0985 0.0742 0.0651 0.0693 0.0354 0.0352 0.0493 0.0967 0.0413
"GCF_000092965.1_ASM9296v1" 0.0425 0.0146 0.0447 0.0511 0.0266 0.092 0.0805 0.0537 0.0084 0.0201 0.0996 0.0745 0.0654 0.0693 0.0352 0.0352 0.0497 0.0969 0.0398
"GCA_000189775.3_ASM18977v3" 0.044 0.0147 0.0438 0.0586 0.0238 0.0887 0.0688 0.0646 0.0095 0.0226 0.1005 0.0732 0.0629 0.0688 0.0328 0.0412 0.0495 0.0943 0.0376
"GCF_000328545.1_ASM32854v1" 0.0448 0.0146 0.0442 0.0613 0.0236 0.0895 0.0678 0.0637 0.0099 0.0227 0.1044 0.0696 0.0609 0.0679 0.033 0.0407 0.0491 0.0945 0.0378
"GCF_000145615.1_ASM14561v1" 0.0444 0.0146 0.0438 0.0602 0.0241 0.0894 0.0685 0.0638 0.01 0.0227 0.103 0.07 0.0617 0.0679 0.033 0.0408 0.0493 0.0944 0.0385
"GCA_000013845.1_ASM1384v1" 0.0419 0.0135 0.0479 0.0668 0.0204 0.0981 0.0832 0.0563 0.0119 0.0237 0.1002 0.0663 0.0552 0.0671 0.0277 0.0406 0.0468 0.0975 0.0349
"GCF_000013285.1_ASM1328v1" 0.0419 0.0133 0.048 0.0668 0.0202 0.0963 0.0837 0.0573 0.0117 0.0245 0.0987 0.0672 0.0556 0.0684 0.0281 0.04 0.0477 0.0965 0.0342
"GCF_000016965.1_ASM1696v1" 0.0424 0.014 0.045 0.0676 0.0252 0.0906 0.0763 0.0587 0.0123 0.0262 0.103 0.0648 0.0591 0.0661 0.0282 0.0426 0.0512 0.093 0.0337
"GCF_000020285.1_ASM2028v1" 0.0424 0.013 0.045 0.0725 0.0229 0.0949 0.0771 0.0591 0.0129 0.0244 0.1063 0.0647 0.0546 0.0648 0.027 0.0426 0.051 0.0942 0.0307
"GCF_000016505.1_ASM1650v1" 0.0429 0.015 0.0448 0.0643 0.0271 0.093 0.0727 0.0556 0.0137 0.0257 0.1032 0.0663 0.0576 0.0657 0.0298 0.0428 0.0508 0.0918 0.0369
"GCF_000143685.1_ASM14368v1" 0.0419 0.0139 0.0454 0.0641 0.026 0.096 0.0681 0.0567 0.0144 0.0269 0.1003 0.0692 0.0599 0.0673 0.0303 0.0433 0.0515 0.0915 0.0334
"GCF_000007625.1_ASM762v1" 0.0427 0.0139 0.0454 0.0679 0.0223 0.1033 0.0793 0.0559 0.0119 0.0235 0.1082 0.0636 0.0537 0.0647 0.028 0.04 0.0482 0.0936 0.0339
"GCF_000019545.1_ASM1954v1" 0.0436 0.014 0.0455 0.0694 0.0233 0.1027 0.0768 0.0555 0.0129 0.0235 0.108 0.063 0.0548 0.0635 0.0286 0.0403 0.0487 0.0936 0.0324
"GCF_000204565.1_ASM20456v1" 0.0432 0.0145 0.0446 0.0715 0.0259 0.1018 0.0715 0.0566 0.0137 0.0245 0.107 0.0653 0.0523 0.063 0.0286 0.0406 0.0512 0.0909 0.0334
"GCF_000014125.1_ASM1412v1" 0.0421 0.0141 0.0445 0.0683 0.0233 0.1028 0.0765 0.0573 0.0131 0.0236 0.1046 0.0684 0.0553 0.0648 0.0286 0.0387 0.049 0.091 0.0341
"GCF_000145275.1_ASM14527v1" 0.0447 0.0142 0.0452 0.0649 0.0268 0.0874 0.0758 0.0591 0.0115 0.0266 0.0982 0.0673 0.0603 0.0653 0.0287 0.0414 0.0571 0.0911 0.0344
"GCF_000191905.1_ASM19190v1" 0.0447 0.0138 0.0465 0.068 0.0242 0.0968 0.07 0.0574 0.0124 0.0279 0.0997 0.0683 0.0584 0.0652 0.0281 0.0427 0.0514 0.09 0.0345
"GCF_000024105.1_ASM2410v1" 0.0433 0.0129 0.0478 0.0571 0.0225 0.0933 0.0809 0.0731 0.0078 0.0208 0.0956 0.061 0.0622 0.0652 0.028 0.0453 0.048 0.0954 0.0399
"GCF_000010185.1_ASM1018v1" 0.0432 0.0136 0.048 0.0672 0.0272 0.1006 0.0764 0.0691 0.0104 0.0198 0.0957 0.0669 0.0525 0.0586 0.0274 0.0452 0.052 0.0916 0.0344
"GCF_000163895.2_ASM16389v2" 0.0427 0.0182 0.0472 0.0511 0.0351 0.0854 0.0839 0.0572 0.0121 0.0203 0.0877 0.0703 0.0583 0.0656 0.0307 0.0447 0.0537 0.0949 0.0406
"GCF_000196455.1_ASM19645v1" 0.0411 0.0158 0.0447 0.0564 0.0274 0.087 0.078 0.0616 0.0093 0.0248 0.0986 0.0661 0.0658 0.0646 0.0312 0.0458 0.0507 0.0964 0.0346
"GCF_000085225.1_ASM8522v1" 0.0425 0.014 0.0451 0.066 0.0241 0.094 0.0756 0.0586 0.0131 0.0255 0.1043 0.0687 0.0547 0.0652 0.0281 0.0427 0.0505 0.0947 0.0327
"GCF_000016985.1_ASM1698v1" 0.0385 0.0197 0.043 0.0501 0.0363 0.0763 0.081 0.0541 0.0096 0.0241 0.094 0.0714 0.0655 0.0719 0.0332 0.0365 0.0542 0.0986 0.0419
"GCF_000018325.1_ASM1832v1" 0.039 0.0184 0.0432 0.054 0.0303 0.0805 0.0809 0.0546 0.0097 0.024 0.0991 0.07 0.0655 0.0712 0.0322 0.038 0.0525 0.097 0.0399
"GCF_000024405.1_ASM2440v1" 0.0458 0.0131 0.0476 0.0682 0.0228 0.0918 0.0794 0.0567 0.0076 0.0246 0.0958 0.0625 0.0595 0.0753 0.0275 0.0413 0.0559 0.091 0.0336
"GCF_000023905.1_ASM2390v1" 0.0448 0.0127 0.0519 0.0705 0.0252 0.1094 0.0867 0.0547 0.0072 0.0206 0.0967 0.0629 0.0536 0.0634 0.0253 0.0381 0.0494 0.0906 0.0363
"GCF_000024565.1_ASM2456v1" 0.047 0.0132 0.0491 0.0754 0.0196 0.1066 0.0799 0.0575 0.0059 0.0224 0.1076 0.059 0.0477 0.0624 0.0228 0.0443 0.0482 0.0979 0.0336
"GCF_000165505.1_ASM16550v1" 0.041 0.0153 0.0482 0.0528 0.0219 0.0971 0.0845 0.0566 0.0098 0.0211 0.0949 0.0677 0.0598 0.0733 0.0303 0.0437 0.0496 0.0948 0.0379
"GCF_000007325.1_ASM732v1" 0.0455 0.0121 0.0504 0.066 0.0222 0.1041 0.0816 0.0559 0.008 0.0202 0.1027 0.0628 0.0563 0.0654 0.0262 0.0414 0.05 0.0968 0.0326
"GCF_000158275.2_ASM15827v2" 0.046 0.0119 0.0506 0.0679 0.0225 0.1074 0.0824 0.0561 0.008 0.0211 0.1026 0.0612 0.0543 0.0638 0.0257 0.0399 0.0498 0.0954 0.0333
"GCF_000027145.1_ASM2714v1" 0.0356 0.0183 0.0473 0.0488 0.0363 0.0737 0.0774 0.0566 0.0063 0.0236 0.0819 0.0727 0.0792 0.0684 0.0357 0.0374 0.0641 0.0994 0.0375
"GCF_000060285.1_ASM6028v1" 0.0362 0.0185 0.0477 0.0489 0.0357 0.0761 0.0774 0.056 0.0063 0.0227 0.0831 0.0723 0.0779 0.0685 0.0351 0.0378 0.0624 0.0996 0.0378
"GCF_000196035.1_ASM19603v1" 0.0359 0.0184 0.0472 0.048 0.0359 0.0741 0.0771 0.0565 0.0064 0.0232 0.0816 0.0731 0.0802 0.069 0.036 0.0371 0.0635 0.0993 0.0375
"GCF_000252975.1_ASM25297v1" 0.0362 0.0185 0.0477 0.0485 0.0364 0.0743 0.075 0.0544 0.0068 0.0237 0.0829 0.0725 0.0788 0.0685 0.0361 0.0374 0.0636 0.1004 0.0381
"GCF_000168635.2_ASM16863v2" 0.0359 0.0183 0.0473 0.0487 0.036 0.0743 0.0771 0.0565 0.0064 0.0232 0.0815 0.0728 0.0797 0.0687 0.0359 0.0372 0.0634 0.0994 0.0377
"GCF_000008285.1_ASM828v1" 0.036 0.0184 0.0475 0.0483 0.0357 0.0736 0.077 0.0561 0.0064 0.0233 0.0816 0.0732 0.0803 0.069 0.0361 0.037 0.0635 0.0995 0.0376
"GCF_000091405.1_ASM9140v1" 0.0398 0.0206 0.0466 0.0585 0.04 0.0834 0.0615 0.0608 0.0061 0.0236 0.0812 0.069 0.072 0.0644 0.0361 0.0386 0.0576 0.1017 0.0385
"GCF_000014425.1_ASM1442v1" 0.0391 0.0204 0.0456 0.0588 0.0408 0.0838 0.0605 0.0622 0.0058 0.0237 0.0787 0.0704 0.0741 0.0659 0.037 0.0378 0.0591 0.0992 0.0373
"GCF_000191165.1_ASM19116v1" 0.0385 0.0192 0.0436 0.0422 0.0441 0.0744 0.0618 0.0596 0.0085 0.0291 0.0638 0.0698 0.088 0.0702 0.0388 0.0378 0.0557 0.1075 0.0475
"GCF_000182835.1_ASM18283v1" 0.0401 0.0194 0.0434 0.0436 0.0442 0.0764 0.0632 0.0615 0.0081 0.0288 0.0638 0.07 0.0881 0.0699 0.0372 0.0368 0.0543 0.105 0.0463
"GCF_000091765.1_ASM9176v1" 0.0413 0.0223 0.046 0.0572 0.0428 0.0816 0.0575 0.0617 0.0066 0.0229 0.0783 0.0699 0.0761 0.0657 0.036 0.0373 0.0582 0.0982 0.0402
"GCF_000214785.1_ASM21478v1" 0.0409 0.0229 0.0452 0.0583 0.0442 0.0849 0.0555 0.0607 0.0076 0.0245 0.077 0.0679 0.0744 0.0638 0.0357 0.0379 0.0584 0.098 0.0421
"GCF_000189515.1_ASM18951v1" 0.0409 0.0232 0.0457 0.0567 0.0423 0.0847 0.0579 0.0606 0.0083 0.0233 0.0788 0.068 0.0738 0.0638 0.0353 0.0381 0.0567 0.0996 0.0424
"GCF_000011985.1_ASM1198v1" 0.0406 0.021 0.0449 0.0608 0.0396 0.0828 0.0594 0.0638 0.0056 0.0233 0.0812 0.0702 0.0729 0.0665 0.037 0.0379 0.06 0.0944 0.0379
"GCF_000182855.2_ASM18285v1" 0.0413 0.0226 0.0452 0.0573 0.0408 0.0842 0.058 0.064 0.0072 0.0232 0.077 0.069 0.0743 0.0656 0.0362 0.0377 0.0578 0.0963 0.0421
"GCF_000026065.1_ASM2606v1" 0.0357 0.0209 0.043 0.0453 0.057 0.0605 0.0573 0.0563 0.0053 0.0243 0.0747 0.0735 0.0907 0.0683 0.0389 0.0324 0.0684 0.1066 0.0407
"GCF_000011045.1_ASM1104v1" 0.0338 0.0243 0.0443 0.0418 0.0502 0.0585 0.0487 0.0596 0.0042 0.0255 0.067 0.0742 0.1018 0.0707 0.0428 0.032 0.0674 0.1069 0.0463
