"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "Val" "Ala" "Gly" "Pro" "Ser" "Thr" "Leu" "Arg"
"GCF_000020945.1_ASM2094v1" 1.8512 1.9658 2 1.872 1.9885 1.9996 1.9272 2 1.8532 1.9421 2.9568 3.7078 3.667 3.7566 3.7608 3.7779 3.9093 5.5586 5.5036
"GCF_000016905.1_ASM1690v1" 1.9015 1.9175 1.9689 1.9201 1.9806 1.9948 1.9654 1.9829 2.0004 1.9932 2.978 3.8462 3.7538 3.9635 3.858 3.9002 3.8551 5.2966 4.7847
"GCF_000021285.1_ASM2128v1" 1.9055 1.8815 1.9802 1.9577 1.9988 2 1.9685 1.9976 1.9701 1.915 2.963 3.7936 3.6724 3.9386 3.7425 3.879 3.876 5.2632 4.6104
"GCF_000017545.1_ASM1754v1" 1.6827 1.9059 1.9889 1.9608 1.9592 1.996 1.9589 1.9778 1.9771 1.9818 2.9665 3.6206 3.9479 3.8285 3.6036 3.962 3.7453 5.005 5
"GCA_000235405.3_ASM23540v3" 1.7705 1.9331 1.9767 1.8488 1.9877 1.9988 1.9417 1.998 1.9992 1.9948 2.9976 3.6153 3.8037 3.7397 3.7286 3.9714 3.7793 5.0633 5.1921
"GCF_000017865.1_ASM1786v1" 1.9869 1.9822 2 1.9948 1.8305 1.8839 1.9414 1.9339 1.856 1.8808 2.9638 3.7313 3.8895 3.92 3.8388 3.9401 3.7538 4.8567 4.6729
"GCF_000217815.1_ASM21781v1" 1.7794 1.9135 1.9996 1.6675 1.9183 1.9677 1.8695 1.9604 1.9474 1.8776 2.9499 3.319 3.92 3.6873 3.5778 4 3.9277 4.0437 4.8263
"GCF_000018945.1_ASM1894v1" 1.7921 1.9459 1.9794 1.7467 1.5598 1.9782 1.9004 1.9128 1.8123 1.9478 2.7894 3.2916 3.876 2.9472 3.9761 3.6792 3.8329 4.0766 3.9777
"GCF_000008545.1_ASM854v1" 1.7835 1.8993 1.9455 1.842 1.5868 1.9689 1.8653 1.8939 1.856 1.9964 2.8653 3.2992 3.9809 2.9762 3.9761 3.6982 3.9308 4.1442 3.8256
"GCF_000255135.1_ASM25513v1" 1.99 2 1.9992 1.998 1.6108 1.998 1.9117 1.9912 1.9996 1.7015 2.994 3.7636 3.83 3.9246 3.9093 3.8139 3.4614 5.1948 5.0582
"GCF_000018605.1_ASM1860v1" 1.9309 1.9992 1.9972 1.9395 1.9505 1.9739 1.9474 1.9539 1.9932 1.9996 2.9869 3.8153 3.9047 3.9541 3.8447 3.8314 3.873 5.3163 4.9702
"GCF_000023325.1_ASM2332v1" 1.9849 1.9988 1.9908 1.9798 1.806 1.9623 1.8797 1.9131 1.9988 1.9361 2.9656 3.6996 3.9448 3.8344 3.9936 3.92 3.701 5.0891 5.2383
"GCA_000147715.3_ASM14771v3" 1.9822 1.9992 1.9198 1.9841 1.7382 1.9339 1.9689 1.9704 1.9782 1.941 2.9985 3.876 3.9047 3.5702 3.9936 3.973 3.9825 4.9505 4.1118
