"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "Val" "Ala" "Gly" "Pro" "Ser" "Thr" "Leu" "Arg"
"GCF_000020945.1_ASM2094v1" 0.0083 -0.068 0.0678 0.0091 0.0222 0.0087 0.0545 0.0226 -0.0415 0.3248 -0.0311 0.0095 0.0247 -0.0015 -0.0996 0.1647 -0.0623 0.0201 0.0861
"GCF_000016905.1_ASM1690v1" 0.2683 0.2082 -0.0074 0.0815 0.075 4e-04 0.0274 -0.0076 -0.087 0.0848 0.126 0.1231 0.1949 0.0579 0.2897 0.0372 0.1322 0.225 0.0925
"GCF_000021285.1_ASM2128v1" 0.0783 0.403 0.1197 0.1736 0.0537 -0.0012 0.0187 6e-04 -0.0637 0.0213 0.169 0.0985 0.1265 0.1018 0.228 -0.0047 0.1155 0.3467 0.2247
"GCF_000017545.1_ASM1754v1" 0.2963 0.3597 0.1151 0.1083 0.0311 0.0677 0.0468 0.0043 0.0664 0.1114 0.0662 0.2734 0.1113 0.2972 0.2963 0.0554 0.3423 0.3624 0.2887
"GCA_000235405.3_ASM23540v3" 0.2859 0.4893 0.1552 0.204 0.0178 0.0485 0.0696 -0.003 0.0289 0.0236 0.1339 0.2615 0.1674 0.2742 0.3256 -0.032 0.2923 0.4138 0.257
"GCF_000017865.1_ASM1786v1" 0.0649 -0.0449 -0.0142 0.0149 0.0469 -0.0349 -0.0194 0.0271 -0.0747 -0.0575 -0.0066 0.1285 0.0349 -0.0417 0.074 0.0437 0.0206 0.0615 0.2233
"GCF_000217815.1_ASM21781v1" 0.0507 0.0321 -0.0091 0.0394 -0.0546 -0.022 0.0416 -0.0251 0.2672 0.0928 0.0353 0.1577 0.017 0.0912 -0.1025 -0.0196 0.0385 0.2616 0.05
"GCF_000018945.1_ASM1894v1" 0.0253 0.0971 0.0033 0.0832 0.2215 0.0245 -0.0092 -0.0089 0.351 0.2302 0.0022 0.0291 0.042 0.2448 0.0323 0.1375 -0.0495 0.0128 0.0799
"GCF_000008545.1_ASM854v1" 0.1602 0.0956 0.0136 0.1017 0.3509 -0.0215 0.0505 0.0326 0.2301 -0.0472 0.0626 0.1296 0.0286 0.1711 0.1157 0.2135 -0.0123 0.1546 0.281
"GCF_000255135.1_ASM25513v1" 0.2152 0.1939 0.1569 0.1826 0.6148 -0.0018 0.0817 -0.0058 0.1463 -0.0052 0.2861 0.1857 0.1277 0.1887 0.2182 0.3154 0.3126 0.1978 0.2101
"GCF_000018605.1_ASM1860v1" 0.2024 -0.0161 0.0279 0.0524 0.1257 -0.0176 -0.0266 0.0435 -0.0413 0.0022 0.0239 0.0011 0.0195 0.0284 0.0671 0.2487 -0.0246 0.0398 0.1153
"GCF_000023325.1_ASM2332v1" 0.1168 -0.0185 0.1165 0.0495 0.3997 -0.0172 0.0891 -0.0477 0.3623 0.016 0.0651 0.3053 0.0865 0.1246 -0.0224 0.1795 0.0982 0.2285 0.3546
"GCA_000147715.3_ASM14771v3" -0.0157 0.0727 0.0732 0.0183 0.0985 -0.0307 0.0397 0.0146 -0.0556 -0.0325 0.0715 0.0085 -0.0079 0.0068 0.164 0.0286 0.0252 0.1594 0.2491
"GCF_000212395.1_ASM21239v1" -0.0046 -0.0661 0.0136 0.2057 -0.0215 0.1597 -0.0089 -0.0133 -0.058 0.0705 0.0337 0.0995 0.1457 0.1127 0.225 0.1296 0.059 0.2078 0.0662
"GCF_000020965.1_ASM2096v1" -0.0065 -0.0254 -0.0117 0.0275 -0.0169 -0.0116 -0.0275 -0.0068 -0.0328 0.0664 0.0598 -0.0189 -0.0607 -0.0267 0.1351 0.2309 0.1859 0.0279 0.0111
"GCF_000021645.1_ASM2164v1" -0.0014 -0.0156 0.0402 0.0737 0.2544 0.0098 0.1168 0.0441 -0.054 0.2109 0.1725 -0.0164 0.0545 0.2563 0.0969 0.2578 0.1108 0.3075 -0.1338
