"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "S_avg"
"GCF_000020945.1_ASM2094v1" -0.0266 0.3455 0.3506 0.1019 0.4027 0.472 0.1146 0.2019 -0.2695 0.0796 0.1882 0.1538
"GCF_000016905.1_ASM1690v1" 0.3227 0.6831 0.3233 0.2044 -0.2412 0.3248 -0.0512 0.1849 -0.3443 -0.0188 -0.2379 0.1118
"GCF_000021285.1_ASM2128v1" 0.5758 0.9048 0.6955 0.494 -0.0583 0.21 -0.1498 0.4773 -0.0299 0.2838 0.3164 0.4893
"GCF_000017545.1_ASM1754v1" 0.814 0.9322 0.421 0.6176 0.0359 0.3364 -0.2748 0.415 -0.2874 0.7635 0.2295 0.5008
"GCA_000235405.3_ASM23540v3" 0.7096 0.7999 0.3136 0.7181 0.4634 0.4176 -0.2095 0.5525 0.2785 0.7559 0.256 0.4895
"GCF_000017865.1_ASM1786v1" 0.1187 0.0672 0.0022 0.0079 0.0652 0.2659 0.2749 0.0505 -0.2862 -0.1936 -0.1749 -0.0227
"GCF_000217815.1_ASM21781v1" 0.4063 0.0307 0.5397 0.4229 0.1736 0.1098 -0.1321 0.1784 0.4227 0.467 0.2063 0.3718
"GCF_000018945.1_ASM1894v1" 0.4395 0.1145 0.3932 0.3697 0.3043 0.2003 -0.1877 0.1963 0.0043 0.2029 0.0979 0.3048
"GCF_000008545.1_ASM854v1" 0.3674 0.0896 0.2507 0.0673 0.5776 0.3206 -0.2479 0.0941 0.312 -0.0053 0.1923 0.2118
"GCF_000255135.1_ASM25513v1" 1.3138 1.2984 1.2579 0.899 0.4458 0.1057 -0.7537 0.6769 -0.7873 0.4209 0.6662 0.982
"GCF_000018605.1_ASM1860v1" 0.1392 0.2335 0.1279 0.2784 -0.4309 -0.0071 -0.3319 0.2901 -0.2374 0.166 -0.0766 0.1205
"GCF_000023325.1_ASM2332v1" 0.531 0.2598 0.6375 0.499 0.7859 0.3317 0.0409 0.4772 0.0998 0.7424 0.5466 0.5498
"GCA_000147715.3_ASM14771v3" -0.0881 -0.0067 0.157 0.0858 0.2381 0.2263 -0.0817 0.1604 0.0527 -0.2409 -0.0686 0.0205
"GCF_000212395.1_ASM21239v1" -0.0058 -0.2997 0.1962 0.0609 0.0358 0.232 0.1538 0.2404 -0.5438 -0.1502 -0.0968 0.0285
"GCF_000020965.1_ASM2096v1" -0.002 0.2458 -0.209 0.0047 0.2654 0.2246 0.1983 0.1676 -0.2491 -0.2239 -0.4748 -0.1841
"GCF_000021645.1_ASM2164v1" 0.1175 0.02 -0.0086 -0.0556 0.0502 0.2875 0.2726 -0.1851 -0.6102 -0.769 -0.2021 -0.0538
"GCF_000266925.1_ASM26692v1" -0.0119 0.0979 0.4725 0.2523 0.5484 0.5133 0.3632 0.0473 -0.1025 0.2205 0.2761 0.2516
"GCF_000233775.1_ASM23377v1" -0.0849 0.1207 -0.0018 -0.054 0.9016 0.382 0.2536 0.0196 -0.4322 0.0234 0.3308 0.0589
"GCF_000024905.1_ASM2490v1" -0.1358 -0.1745 -0.7314 0.1231 1.4619 1.3745 0.3259 0.0332 0.0108 0.4531 -0.521 -0.3173
"GCA_000210715.1_ASM21071v1" 0.1475 0.048 -0.0227 1.1675 2.1761 0.8037 0.2594 -0.1534 0.5614 0.5463 -0.2357 0.2105
"GCF_000025885.1_ASM2588v1" 0.0508 0.5127 0.0708 -0.1531 1.1911 0.3848 0.3042 0.4605 0.1827 0.3363 0.0603 0.0071
"GCF_000160495.1_ASM16049v1" 0.459 0.188 0.7055 0.5202 1.3043 0.732 0.2426 0.0078 0.5338 0.3964 0.0749 0.3578
"GCF_000025305.1_ASM2530v1" 0.1942 0.0897 0.584 0.6497 -0.8564 -0.486 -1.2067 0.0794 0.9148 0.5916 -0.038 0.2724
"GCF_000230275.1_ASM23027v1" 0.6635 0.2585 1.1111 1.0157 0.1078 -0.154 -0.8862 0.1516 0.7364 0.943 0.3756 0.7002
"GCF_000024945.1_ASM2494v1" 1.1927 0.7235 1.705 1.27 -1.0899 -1.1447 -1.2545 1.0078 1.1199 1.393 0.8196 1.1532
"GCF_000092945.1_ASM9294v1" 0.2931 0.1321 0.3452 0.0018 -0.1992 0.2902 0.0717 0.0534 0.1202 0.0225 -0.1824 0.0417
"GCF_000018425.1_ASM1842v1" 0.385 -0.1654 -0.1698 0.3447 0.2038 0.1425 0.0214 0.1281 0.16 -0.389 0.027 0.1162
"GCF_000024605.1_ASM2460v1" 0.5692 0.3837 0.2699 0.0766 0.3779 0.6669 0.0985 -0.0106 -0.0384 0.3607 0.1993 0.2717
"GCF_000016165.1_ASM1616v1" 0.6714 0.7779 0.9044 0.9729 -0.3756 0.1749 -0.1615 0.4232 1.0211 0.6833 0.1605 0.5753
"GCF_000215085.1_ASM21508v1" 0.407 0.8603 0.613 0.4059 0.1598 0.1077 -0.3195 0.2517 0.2055 0.3959 0.0568 0.2937
"GCA_000010565.1_ASM1056v1" 1.1184 0.6662 0.358 0.6681 0.503 0.316 0.2662 0.2406 0.6723 0.5273 0.2559 0.5307
"GCA_000233715.3_ASM23371v3" 0.1029 -0.0641 -0.0619 0.0326 0.1126 0.3382 -0.156 -0.1017 0.2972 -0.0438 -0.3446 -0.11
"GCF_000024205.1_ASM2420v1" -0.1067 0.4473 -0.066 0.2089 0.3768 0.3616 -0.0208 0.2101 -0.0193 -0.2924 0.074 0.0463
"GCF_000012865.1_ASM1286v1" 0.1456 0.1435 0.2005 0.1998 0.0469 0.3065 0.1702 0.0155 0.2324 0.7654 0.0467 0.1275
"GCF_000092405.1_ASM9240v1" -0.0808 -0.3006 -0.0082 -0.0538 0.1819 0.1868 -0.1808 -0.1748 -0.2159 -0.1756 -0.0741 -0.0574
"GCF_000014725.1_ASM1472v1" 0.1156 0.056 0.2081 -0.0042 -0.2555 0.0904 -0.2124 0.424 -0.0253 -0.2459 -0.1181 0.0208
"GCF_000013105.1_ASM1310v1" -0.4051 -0.3113 0.0713 -0.1906 0.0426 -0.0784 -0.162 -0.2558 0.1471 0.272 -0.2843 -0.2276
"GCF_000512895.1_ASM51289v1" 0.1567 0.0952 0.3474 0.047 0.0077 -0.1252 -0.14 0.0157 0.2908 0.1786 -0.146 0.0405
"GCF_000190635.1_ASM19063v1" 0.1682 -0.3021 0.1668 -0.1737 0.0666 -0.1748 -0.643 -0.2427 0.0762 -0.5054 -0.1933 -0.0608
"GCA_000255115.3_ASM25511v3" 0.1314 0.1584 0.1909 0.3936 -0.4533 0.0312 -0.245 0.099 0.3728 0.0316 -0.0199 0.1445
"GCF_000235605.1_ASM23560v1" 0.0817 0.3065 0.6348 0.3085 -0.7329 0.0311 -0.1374 0.2434 0.0074 0.3119 -0.101 0.1631
"GCA_000231385.3_ASM23138v3" 0.1334 0.3572 0.2643 0.2644 -0.7949 0.0551 0.0028 0.2101 0.1407 0.228 -0.0793 0.1048
"GCA_000243135.3_ASM24313v3" 0.3526 0.1588 0.5483 0.2923 -0.9346 -0.2218 -0.3009 -0.151 0.117 0.294 -0.1248 0.1809
"GCA_000243155.3_ASM24315v3" 0.0133 0.22 0.3897 0.2869 -1.0371 -0.1026 -0.2645 -0.016 0.3318 -0.0473 -0.0758 0.1152
"GCF_000010045.1_ASM1004v1" 0.3141 0.4619 0.7908 0.5259 -1.1535 -0.1416 -0.3373 0.0189 0.1346 -0.0543 -0.0696 0.2842
"GCA_000231405.3_ASM23140v3" 0.3987 0.2616 0.8577 0.5102 -0.6002 -0.2437 -0.1483 0.3952 0.574 -0.0424 0.0904 0.3858
"GCF_000019165.1_ASM1916v1" 0.3903 0.2377 0.4976 0.5995 -0.6517 -0.1691 -0.5226 0.4596 0.3035 0.6337 0.0757 0.3182
"GCF_000213255.1_ASM21325v1" -0.2174 -0.0397 0.0498 -0.2329 0.1989 0.1203 -0.0011 -0.0821 0.3592 0.5222 0.0259 -0.1281
"GCF_000007085.1_ASM708v1" -0.0279 0.4339 0.4558 0.6054 0.631 0.3434 0.3378 0.313 1.0596 0.421 0.2591 0.3187
"GCA_000147695.3_ASM14769v3" 0.0978 0.4306 0.4043 0.0199 0.009 0.4812 0.1192 0.2084 0.1637 0.1364 0.0746 0.1324
"GCF_000019085.1_ASM1908v1" -0.104 0.2767 0.005 -0.0498 -0.057 0.318 0.1216 0.1781 0.1787 0.1428 -0.1211 -0.0722
"GCF_000092965.1_ASM9296v1" -0.028 -0.1386 0.1255 -0.1773 -0.1823 0.1751 0.0689 0.2692 0.275 -0.2015 -0.3239 -0.1238
"GCA_000189775.3_ASM18977v3" 0.0915 0.0514 0.5732 0.4569 -0.2348 0.1996 0.0712 0.0855 0.0465 0.1859 -0.0038 0.2797
"GCF_000328545.1_ASM32854v1" -0.0462 -0.0225 0.1078 0.0873 -0.0965 0.0997 -0.2799 -0.1492 -0.0705 -0.2576 -0.1256 0.0033
"GCF_000145615.1_ASM14561v1" -0.0568 0.1031 0.3183 0.1436 -0.0445 0.098 -0.2721 -0.1003 -0.062 -0.1853 -0.169 0.0451
"GCA_000013845.1_ASM1384v1" 2.1949 1.3296 1.9889 1.8508 -1.2306 -0.0702 -0.2188 1.2891 0.8687 1.6926 2.8816 2.1828
"GCF_000013285.1_ASM1328v1" 1.9337 1.4635 1.92 1.5266 -1.0845 -0.131 -0.2853 1.1451 0.8305 1.31 2.7294 1.9582
"GCF_000016965.1_ASM1696v1" 0.4919 0.9703 0.9894 0.8305 -3.0666 0.4812 -0.7241 0.5613 -0.0382 0.5941 1.1195 0.8845
"GCF_000020285.1_ASM2028v1" 1.359 1.1627 1.5805 1.5092 -1.5007 0.3744 -0.8117 0.9236 0.6262 0.663 1.7068 1.5516
"GCF_000016505.1_ASM1650v1" -0.4686 -0.2904 0.2176 0.0092 0.0352 0.1806 -0.144 -0.2652 -0.1773 -0.4602 -0.1864 -0.0956
"GCF_000143685.1_ASM14368v1" 0.1374 -0.1569 0.5809 0.3671 0.1609 0.2613 -0.2369 0.2109 -0.0198 0.1875 0.6674 0.4193
"GCF_000007625.1_ASM762v1" 0.6641 1.3923 1.1248 0.8406 -0.5804 0.3855 -0.3553 0.7143 0.4228 0.6121 1.1416 0.929
"GCF_000019545.1_ASM1954v1" 1.2382 0.8665 1.3159 1.2144 -1.1385 0.0532 -0.6752 0.5174 0.5187 0.5787 1.3676 1.2699
"GCF_000204565.1_ASM20456v1" 1.2143 1.6706 1.3666 1.189 -1.1939 0.2239 -0.441 0.5637 0.7296 1.3359 1.488 1.3035
"GCF_000014125.1_ASM1412v1" 1.054 1.4912 1.3268 1.0992 -1.1774 0.1161 -0.7966 0.6843 0.4722 1.0123 1.7035 1.2826
"GCF_000145275.1_ASM14527v1" 1.2271 1.4277 1.5331 1.2147 -1.6268 -0.1029 -0.7268 0.7431 0.655 1.3442 1.3687 1.3261
"GCF_000191905.1_ASM19190v1" 0.597 0.5307 1.0552 0.5477 0.0475 -0.2428 -0.4348 0.1677 0.6607 0.0805 0.9953 0.767
"GCF_000024105.1_ASM2410v1" 0.9666 1.3141 1.1554 1.1802 -3.2937 -0.871 -1.209 0.7235 -0.0241 0.808 0.9163 1.0497
"GCF_000010185.1_ASM1018v1" 0.5731 0.9541 0.6898 0.8994 -1.5309 -0.1517 -1.5412 0.432 -0.255 0.245 0.6694 0.7267
"GCF_000163895.2_ASM16389v2" 0.5231 0.9741 0.9046 0.6501 -1.6112 -0.6372 -0.9518 0.4269 0.2175 0.2077 0.5891 0.6508
"GCF_000196455.1_ASM19645v1" 1.0611 0.8776 1.307 1.0351 -0.7037 0.0082 -0.159 0.638 0.5889 0.435 1.0867 1.1109
"GCF_000085225.1_ASM8522v1" 0.9287 0.9127 1.7214 1.0531 -1.8849 0.0146 -0.2055 0.7152 0.5297 0.8574 1.3247 1.2211
"GCF_000016985.1_ASM1698v1" 0.4184 0.3701 0.8628 0.6915 -1.0191 0.1046 -0.3742 0.2817 -0.0337 -0.1167 0.4353 0.5737
"GCF_000018325.1_ASM1832v1" 0.71 0.5598 0.8872 0.9844 -1.4196 -0.315 -0.1348 0.4124 -0.4573 0.0676 0.2704 0.647
"GCF_000024405.1_ASM2440v1" 0.6538 0.7345 0.7131 0.6047 -1.0187 -0.1611 -0.3203 0.0584 0.1296 0.1372 0.7771 0.6793
"GCF_000023905.1_ASM2390v1" 0.8955 0.6842 1.2771 1.1263 -1.7738 -0.9642 -0.8959 0.3148 0.2362 -0.1546 1.1988 1.1434
"GCF_000024565.1_ASM2456v1" 1.3241 1.6251 1.255 1.349 -2.1921 -0.533 -0.4111 0.7587 0.7596 0.6231 1.3722 1.3328
"GCF_000165505.1_ASM16550v1" 0.9808 0.4762 1.2665 1.0623 -0.9899 0.151 -0.268 0.3954 0.1812 0.5015 1.1173 1.1071
"GCF_000007325.1_ASM732v1" 0.9381 0.8125 1.178 1.3004 -1.378 0.094 -1.0662 0.6332 -0.374 1.1797 1.2938 1.201
"GCF_000158275.2_ASM15827v2" 0.8167 0.8721 1.1945 1.0496 -2.248 0.1419 -1.0337 0.4992 -0.57 0.7379 1.3273 1.1097
"GCF_000027145.1_ASM2714v1" 1.0065 0.632 1.085 1.2249 -1.2581 -0.2024 -0.5952 0.646 0.3929 0.7054 0.9394 1.0497
"GCF_000060285.1_ASM6028v1" 1.0106 0.8801 1.2657 1.4097 -1.8156 -0.4254 -0.3707 0.6782 0.2902 0.8169 1.1642 1.2197
