"ENCp_HEG" "ENCp_rest" "deltaENCp"
"GCF_000020945.1_ASM2094v1" 56.226 57.8021 0.0273
"GCF_000016905.1_ASM1690v1" 53.3591 57.0271 0.0643
"GCF_000021285.1_ASM2128v1" 51.2172 56.3926 0.0918
"GCF_000017545.1_ASM1754v1" 49.2198 56.2796 0.1254
"GCA_000235405.3_ASM23540v3" 50.7165 56.7065 0.1056
"GCF_000017865.1_ASM1786v1" 55.9259 55.8174 -0.0019
"GCF_000217815.1_ASM21781v1" 51.8742 53.7302 0.0345
"GCF_000018945.1_ASM1894v1" 49.3752 51.3047 0.0376
"GCF_000008545.1_ASM854v1" 48.5177 51.5116 0.0581
"GCF_000255135.1_ASM25513v1" 49.5974 56.4399 0.1212
"GCF_000018605.1_ASM1860v1" 55.7598 57.4627 0.0296
"GCF_000023325.1_ASM2332v1" 53.2369 57.1688 0.0688
"GCA_000147715.3_ASM14771v3" 54.478 55.3112 0.0151
"GCF_000212395.1_ASM21239v1" 54.4728 54.9817 0.0093
"GCF_000020965.1_ASM2096v1" 54.0758 54.1016 5e-04
"GCF_000021645.1_ASM2164v1" 54.4383 53.3576 -0.0203
"GCF_000266925.1_ASM26692v1" 54.7445 56.3616 0.0287
"GCF_000233775.1_ASM23377v1" 54.7873 55.6896 0.0162
"GCF_000024905.1_ASM2490v1" 52.5691 52.395 -0.0033
"GCA_000210715.1_ASM21071v1" 53.6063 56.9246 0.0583
"GCF_000025885.1_ASM2588v1" 54.5502 57.2882 0.0478
"GCF_000160495.1_ASM16049v1" 47.0783 50.9582 0.0761
"GCF_000025305.1_ASM2530v1" 40.2885 42.8931 0.0607
"GCF_000230275.1_ASM23027v1" 45.4688 53.7106 0.1534
"GCF_000024945.1_ASM2494v1" 39.0775 51.3572 0.2391
"GCF_000092945.1_ASM9294v1" 52.9984 54.3625 0.0251
"GCF_000018425.1_ASM1842v1" 53.2681 54.8699 0.0292
"GCF_000024605.1_ASM2460v1" 55.2767 56.9273 0.029
"GCF_000016165.1_ASM1616v1" 48.1605 55.8903 0.1383
"GCF_000215085.1_ASM21508v1" 47.4643 51.1643 0.0723
"GCA_000010565.1_ASM1056v1" 50.834 53.1446 0.0435
"GCA_000233715.3_ASM23371v3" 51.2284 54.306 0.0567
"GCF_000024205.1_ASM2420v1" 52.4081 56.3976 0.0707
"GCF_000012865.1_ASM1286v1" 47.6507 50.9588 0.0649
"GCF_000092405.1_ASM9240v1" 57.4481 58.1257 0.0117
"GCF_000014725.1_ASM1472v1" 52.273 53.9709 0.0315
"GCF_000013105.1_ASM1310v1" 51.0997 52.8731 0.0335
"GCF_000512895.1_ASM51289v1" 52.4098 55.6573 0.0583
"GCF_000190635.1_ASM19063v1" 53.3072 55.3023 0.0361
"GCA_000255115.3_ASM25511v3" 53.7562 57.7152 0.0686
"GCF_000235605.1_ASM23560v1" 52.6055 57.2476 0.0811
"GCA_000231385.3_ASM23138v3" 53.4044 58.3194 0.0843
"GCA_000243135.3_ASM24313v3" 52.9193 57.7341 0.0834
"GCA_000243155.3_ASM24315v3" 52.7744 56.1475 0.0601
"GCF_000010045.1_ASM1004v1" 50.6283 54.7024 0.0745
"GCA_000231405.3_ASM23140v3" 51.671 57.3575 0.0991
"GCF_000019165.1_ASM1916v1" 50.3886 55.2157 0.0874
"GCF_000213255.1_ASM21325v1" 50.1963 54.288 0.0754
"GCF_000007085.1_ASM708v1" 52.8038 54.8856 0.0379
"GCA_000147695.3_ASM14769v3" 55.4231 56.6805 0.0222
"GCF_000019085.1_ASM1908v1" 55.6731 56.6949 0.018
"GCF_000092965.1_ASM9296v1" 56.1806 56.8126 0.0111
"GCA_000189775.3_ASM18977v3" 53.528 55.8244 0.0411
"GCF_000328545.1_ASM32854v1" 55.0144 56.372 0.0241
"GCF_000145615.1_ASM14561v1" 54.9118 56.4047 0.0265
"GCA_000013845.1_ASM1384v1" 44.5647 54.3871 0.1806
"GCF_000013285.1_ASM1328v1" 45.2471 54.133 0.1641
"GCF_000016965.1_ASM1696v1" 49.5996 57.1837 0.1326
"GCF_000020285.1_ASM2028v1" 49.8862 56.6072 0.1187
"GCF_000016505.1_ASM1650v1" 55.0125 56.7646 0.0309
"GCF_000143685.1_ASM14368v1" 52.7341 56.7754 0.0712
"GCF_000007625.1_ASM762v1" 52.4136 56.6479 0.0747
"GCF_000019545.1_ASM1954v1" 51.8962 56.8004 0.0863
"GCF_000204565.1_ASM20456v1" 50.2903 57.3642 0.1233
"GCF_000014125.1_ASM1412v1" 49.8518 56.3076 0.1147
"GCF_000145275.1_ASM14527v1" 47.35 57.4563 0.1759
"GCF_000191905.1_ASM19190v1" 51.7368 56.336 0.0816
"GCF_000024105.1_ASM2410v1" 47.0671 54.6934 0.1394
"GCF_000010185.1_ASM1018v1" 48.5858 54.4485 0.1077
"GCF_000163895.2_ASM16389v2" 47.3427 53.8322 0.1206
"GCF_000196455.1_ASM19645v1" 48.7209 54.7264 0.1097
"GCF_000085225.1_ASM8522v1" 48.7056 56.9896 0.1454
"GCF_000016985.1_ASM1698v1" 53.7044 58.117 0.0759
"GCF_000018325.1_ASM1832v1" 51.2415 57.8131 0.1137
"GCF_000024405.1_ASM2440v1" 52.3956 51.8509 -0.0105
"GCF_000023905.1_ASM2390v1" 50.8289 56.4678 0.0999
"GCF_000024565.1_ASM2456v1" 51.3475 56.9944 0.0991
"GCF_000165505.1_ASM16550v1" 47.631 54.9594 0.1333
"GCF_000007325.1_ASM732v1" 50.2926 56.1078 0.1036
"GCF_000158275.2_ASM15827v2" 50.8938 56.2557 0.0953
"GCF_000027145.1_ASM2714v1" 46.0538 54.52 0.1553
"GCF_000060285.1_ASM6028v1" 45.834 54.5269 0.1594
"GCF_000196035.1_ASM19603v1" 45.4143 53.9267 0.1579
"GCF_000252975.1_ASM25297v1" 46.1031 55.0278 0.1622
"GCF_000168635.2_ASM16863v2" 45.5048 54.0497 0.1581
"GCF_000008285.1_ASM828v1" 45.5113 53.9094 0.1558
"GCF_000091405.1_ASM9140v1" 40.1749 55.1955 0.2721
"GCF_000014425.1_ASM1442v1" 40.4334 54.2545 0.2547
"GCF_000191165.1_ASM19116v1" 34.2527 51.0637 0.3292
"GCF_000182835.1_ASM18283v1" 34.7562 51.0404 0.319
"GCF_000091765.1_ASM9176v1" 37.5806 53.085 0.2921
"GCF_000214785.1_ASM21478v1" 39.2764 53.8038 0.27
"GCF_000189515.1_ASM18951v1" 37.9835 53.3077 0.2875
"GCF_000011985.1_ASM1198v1" 38.7001 53.0954 0.2711
"GCF_000182855.2_ASM18285v1" 37.224 51.657 0.2794
"GCF_000026065.1_ASM2606v1" 41.431 49.782 0.1678
"GCF_000011045.1_ASM1104v1" 44.3431 51.9123 0.1458
"GCF_000233755.1_ASM23375v1" 44.5107 51.7185 0.1394
"GCF_000155515.2_ASM15551v2" 28.888 52.2732 0.4474
"GCF_000008925.1_ASM892v1" 40.1699 55.233 0.2727
"GCF_000014505.1_ASM1450v1" 41.8562 54.3634 0.2301
"GCA_000237995.2_ASM23799v2" 43.8035 55.8764 0.2161
"GCF_000203855.3_ASM20385v3" 42.3708 51.4522 0.1765
"GCF_000014465.1_ASM1446v1" 41.4409 51.8603 0.2009
"GCF_000225325.1_ASM22532v1" 41.7175 53.3321 0.2178
"GCF_000219805.1_ASM21980v1" 23.0751 52.5319 0.5607
"GCF_000014385.1_ASM1438v1" 30.8777 54.9916 0.4385
"GCF_000234825.3_ASM23482v3" 37.7921 53.1018 0.2883
"GCF_000092505.1_ASM9250v1" 38.2291 52.0153 0.265
"GCF_000026405.1_ASM2640v1" 22.9754 51.8474 0.5569
"GCF_000159455.2_ASM15945v2" 38.1259 54.1167 0.2955
"GCF_000010145.1_ASM1014v1" 40.9516 51.9075 0.2111
"GCF_000006865.1_ASM686v1" 38.3285 54.8619 0.3014
"GCF_000009425.1_ASM942v1" 38.4916 55.4357 0.3057
"GCF_000014545.1_ASM1454v1" 38.3552 55.6496 0.3108
"GCF_000269925.1_ASM26992v1" 37.0908 53.7638 0.3101
"GCF_000253335.1_ASM25333v1" 34.8971 52.6728 0.3375
"GCF_000011845.1_ASM1184v1" 35.571 53.364 0.3334
"GCF_000270165.1_ASM27016v1" 36.7697 51.6279 0.2878
"GCF_000213825.1_ASM21382v1" 40.4058 56.1493 0.2804
"GCF_000009545.1_ASM954v1" 40.7531 55.7333 0.2688
"GCF_000010705.1_ASM1070v1" 38.5655 55.4629 0.3047
"GCF_000219765.1_ASM21976v1" 40.8514 55.9161 0.2694
"GCF_000020765.1_ASM2076v1" 40.6874 55.6529 0.2689
"GCF_000230295.1_ASM23029v1" 38.9811 55.2113 0.294
"GCF_000012165.1_ASM1216v1" 39.623 55.3333 0.2839
"GCF_000196055.1_ASM19605v1" 38.2981 55.8825 0.3147
"GCF_000007465.2_ASM746v2" 44.6381 55.2915 0.1927
"GCF_000164675.2_ASM16467v2" 36.0911 54.09 0.3328
"GCF_000253155.1_ASM25315v1" 36.6537 54.3283 0.3253
"GCF_000027165.1_ASM2716v1" 38.1065 54.4459 0.3001
"GCF_000221985.1_ASM22198v1" 36.4736 54.8143 0.3346
"GCF_000251085.2_ASM25108v2" 36.611 54.5489 0.3288
"GCF_000019025.1_ASM1902v1" 36.8149 54.478 0.3242
"GCF_000007045.1_ASM704v1" 36.679 54.2183 0.3235
"GCF_000017005.1_ASM1700v1" 38.1839 56.1946 0.3205
"GCF_000014205.1_ASM1420v1" 39.5749 55.3624 0.2852
"GCF_000018185.1_ASM1818v1" 36.0464 54.8184 0.3424
"GCF_000231865.1_ASM23186v1" 35.8008 54.6444 0.3448
"GCF_000231885.1_ASM23188v1" 35.4589 55.1762 0.3574
"GCF_000283615.1_ASM28361v1" 46.9902 54.9606 0.145
"GCF_000166815.1_ASM16681v1" 44.7988 55.4337 0.1918
"GCF_000270185.1_ASM27018v1" 47.1483 56.1332 0.1601
"GCA_000210115.1_ASM21011v1" 45.0076 52.0931 0.136
"GCF_000007785.1_ASM778v1" 43.2499 52.7999 0.1809
"GCF_000172575.2_ASM17257v2" 42.5085 51.694 0.1777
"GCF_000195575.1_ASM19557v1" 43.9389 55.4172 0.2071
"GCF_000193205.1_ASM19320v1" 44.2495 54.305 0.1852
"GCA_000017965.1_ASM1796v1" 42.1311 54.9912 0.2339
"GCF_000011245.1_ASM1124v1" 45.8505 57.2805 0.1995
"GCF_000023045.1_ASM2304v1" 40.0079 49.7691 0.1961
"GCF_000177235.2_ASM17723v2" 47.6566 58.0696 0.1793
"GCF_000093085.1_ASM9308v1" 46.7584 55.1798 0.1526
"GCF_000009825.1_ASM982v1" 45.4179 53.6402 0.1533
