"genome_id" "Genome_Name" "rRNA_CN_rrnDB" "rRNA_CN_IMG" "rRNA_CN_final"
"GCF_000020945.1_ASM2094v1" "Coprothermobacter proteolyticus DSM 5265" 2 2 2
"GCF_000016905.1_ASM1690v1" "Thermosipho melanesiensis BI429" 4 4 4
"GCF_000021285.1_ASM2128v1" "Thermosipho africanus TCF52B" 3 3 3
"GCF_000017545.1_ASM1754v1" "Fervidobacterium nodosum Rt17-B1" 2 2 2
"GCA_000235405.3_ASM23540v3" "Fervidobacterium pennivorans Ven 5, DSM 9078" 2 2.33 2
"GCF_000017865.1_ASM1786v1" "Thermotoga lettingae TMO" 1 1 1
"GCF_000217815.1_ASM21781v1" "Pseudothermotoga thermarum DSM 5069" 1 1 1
"GCF_000018945.1_ASM1894v1" "Thermotoga neapolitana DSM 4359" 1 1 1
"GCF_000008545.1_ASM854v1" "Thermotoga maritima MSB8" 1 1 1
"GCF_000255135.1_ASM25513v1" "Marinitoga piezophila KA3" 3 3 3
"GCF_000018605.1_ASM1860v1" "Petrotoga mobilis SJ95" 2 2 2
"GCF_000023325.1_ASM2332v1" "Kosmotoga olearia TBF 19.5.1" 2 2 2
"GCA_000147715.3_ASM14771v3" "Mesotoga prima MesG1AG4.2" 2 2 2
"GCF_000212395.1_ASM21239v1" "Thermodesulfobium narugense Na82, DSM 14796" 2 2 2
"GCF_000020965.1_ASM2096v1" "Dictyoglomus thermophilum H-6-12, ATCC 35947" 2 2 2
"GCF_000021645.1_ASM2164v1" "Dictyoglomus turgidum DSM 6724" 2 2 2
"GCF_000266925.1_ASM26692v1" "Anaerobaculum mobile NGA, DSM 13181" 2 2 2
"GCF_000233775.1_ASM23377v1" "Thermovirga lienii Cas60314, DSM 17291" 3 3 3
"GCF_000024905.1_ASM2490v1" "Thermanaerovibrio acidaminovorans Su883, DSM 6589" 3 3 3
"GCA_000210715.1_ASM21071v1" "Synergistetes bacterium SGP1" NA 0 1
"GCF_000025885.1_ASM2588v1" "Aminobacterium colombiense ALA-1, DSM 12261" 3 3 3
"GCF_000160495.1_ASM16049v1" "Selenomonas sputigena DSM 20758" NA 4 4
"GCF_000025305.1_ASM2530v1" "Acidaminococcus fermentans VR4, DSM 20731" 6 6 6
"GCF_000230275.1_ASM23027v1" "Acidaminococcus intestini RyC-MR95" 3 3 3
"GCF_000024945.1_ASM2494v1" "Veillonella parvula Te3, DSM 2008" 4 4 4
"GCF_000092945.1_ASM9294v1" "Thermincola potens JR" 3 3 3
"GCF_000018425.1_ASM1842v1" "Candidatus Desulforudis audaxviator MP104C" 2 2 2
"GCF_000024605.1_ASM2460v1" "Ammonifex degensii KC4" 2 2 2
"GCF_000016165.1_ASM1616v1" "Desulfotomaculum reducens MI-1" 8 9 8
"GCF_000215085.1_ASM21508v1" "Desulfotomaculum ruminis DL, DSM 2154" 5 5 5
"GCA_000010565.1_ASM1056v1" "Pelotomaculum thermopropionicum SI" NA 2 2
"GCA_000233715.3_ASM23371v3" "Desulfotomaculum gibsoniae Groll, DSM 7213" 8 8 8
"GCF_000024205.1_ASM2420v1" "Desulfotomaculum acetoxidans 5575, DSM 771" 10 10 10
"GCF_000012865.1_ASM1286v1" "Carboxydothermus hydrogenoformans Z-2901" 4 4 4
"GCF_000092405.1_ASM9240v1" "Syntrophothermus lipocalidus DSM 12680" 2 2 2
"GCF_000014725.1_ASM1472v1" "Syntrophomonas wolfei Goettingen, DSM 2245B" 3 6.33 3
"GCF_000013105.1_ASM1310v1" "Moorella thermoacetica ATCC 39073" 1 1 1
"GCF_000512895.1_ASM51289v1" "Dehalobacter restrictus DSM 9455" 4 4 4
"GCF_000190635.1_ASM19063v1" "Syntrophobotulus glycolicus FlGlyR, DSM 8271" 4 4 4
"GCA_000255115.3_ASM25511v3" "Desulfosporosinus acidiphilus SJ4, DSM 22704" 9 8.33 9
"GCF_000235605.1_ASM23560v1" "Desulfosporosinus orientis Singapore I, DSM 765" 8 8 8
"GCA_000231385.3_ASM23138v3" "Desulfosporosinus meridiei S10, DSM 13257" 11 10.33 11
"GCA_000243135.3_ASM24313v3" "Desulfitobacterium dichloroeliminans LMG P-21439" 6 6 6
"GCA_000243155.3_ASM24315v3" "Desulfitobacterium dehalogenans JW/IU-DC1, ATCC 51507" 6 6 6
"GCF_000010045.1_ASM1004v1" "Desulfitobacterium hafniense Y51" 6 6 6
"GCA_000231405.3_ASM23140v3" "Desulfitobacterium metallireducens 853-15A, DSM 15288" 8 8 8
"GCF_000019165.1_ASM1916v1" "Heliobacterium modesticaldum Ice1" 10 10 10
"GCF_000213255.1_ASM21325v1" "Mahella australiensis 50-1 BON, DSM 15567" 3 3 3
"GCF_000007085.1_ASM708v1" "Caldanaerobacter subterraneus tengcongensis MB4T" 4 4 4
"GCA_000147695.3_ASM14769v3" "Thermoanaerobacter wiegelii Rt8.B1" 4 4 4
"GCF_000019085.1_ASM1908v1" "Thermoanaerobacter pseudethanolicus 39E, ATCC 33223" 4 5.33 4
"GCF_000092965.1_ASM9296v1" "Thermoanaerobacter mathranii mathranii A3, DSM 11426" 4 4 4
"GCA_000189775.3_ASM18977v3" "Thermoanaerobacterium xylanolyticum LX-11, DSM 7097" 5 5 5
"GCF_000328545.1_ASM32854v1" "Thermoanaerobacterium thermosaccharolyticum M0795" 5 4.33 5
"GCF_000145615.1_ASM14561v1" "Thermoanaerobacterium thermosaccharolyticum DSM 571" 5 4 5
"GCA_000013845.1_ASM1384v1" "Clostridium perfringens SM101" 10 10 10
"GCF_000013285.1_ASM1328v1" "Clostridium perfringens ATCC 13124" 8 8 8
"GCF_000016965.1_ASM1696v1" "Clostridium beijerinckii NCIMB 8052" 14 14.33 14
"GCF_000020285.1_ASM2028v1" "Clostridium botulinum E3 Alaska E43" 11 11.33 11
"GCF_000016505.1_ASM1650v1" "Clostridium kluyveri DSM 555" 7 6.67 7
"GCF_000143685.1_ASM14368v1" "Clostridium ljungdahlii PETC, DSM 13528" 9 9 9
"GCF_000007625.1_ASM762v1" "Clostridium tetani Massachusetts E88" 6 6 6
"GCF_000019545.1_ASM1954v1" "Clostridium botulinum sv. A BoNT/A3 Loch Maree" 9 9 9
"GCF_000204565.1_ASM20456v1" "Clostridium botulinum sv. Type C/D BKT015925" 10 10 10
