"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "Val" "Ala" "Gly" "Pro" "Ser" "Thr" "Leu" "Arg"
"GCF_000020945.1_ASM2094v1" 1.879 1.8477 1.9566 1.8376 1.8921 1.9309 1.9474 1.9873 2.0072 1.9357 2.97 3.8139 3.5562 3.659 3.701 3.4329 3.973 5.2165 5.16
"GCF_000016905.1_ASM1690v1" 1.7724 1.5385 2.0044 1.8667 1.9346 1.99 1.9512 1.9992 1.9897 2.021 2.7108 3.4977 3.8865 3.7509 3.6765 3.5881 3.7495 4.2445 4.5393
"GCF_000021285.1_ASM2128v1" 1.773 1.4954 2.0072 1.9008 2.0105 1.9558 1.9701 2.0052 2.0305 1.9467 2.5069 3.3636 3.4247 3.651 3.2499 3.4783 3.5549 4.0258 4.2571
"GCF_000017545.1_ASM1754v1" 1.3029 1.4717 1.9402 1.7749 2.0048 1.9172 1.9527 2.0052 2.0048 1.7479 2.886 3.1636 3.6846 3.2196 3.0441 3.9417 3.0921 3.5984 4.2644
"GCA_000235405.3_ASM23540v3" 1.5356 1.6781 1.9732 1.6106 1.9505 1.9194 1.8997 1.9829 2.0321 1.8529 2.8918 3.1319 3.6765 3.3256 3.1133 3.9746 3.4554 3.9139 4.2845
"GCF_000017865.1_ASM1786v1" 1.9489 1.9608 2.0072 1.992 1.7995 1.9639 1.9976 1.9689 1.9767 1.9482 2.978 3.453 3.8745 3.7679 4.0241 3.973 3.8986 4.5331 4.985
"GCF_000217815.1_ASM21781v1" 1.6717 1.9798 1.9604 1.555 2.004 2.002 1.8993 1.9592 1.8772 1.751 2.97 3.1124 3.73 3.2949 3.7051 3.885 3.9262 3.5236 4.914
"GCF_000018945.1_ASM1894v1" 1.648 1.944 1.8914 1.6343 1.3501 1.9932 1.8875 1.9619 1.7989 2 2.8145 3.231 3.7707 2.7816 3.87 3.0404 3.882 3.8183 3.9339
"GCF_000008545.1_ASM854v1" 1.6305 1.8783 1.8664 1.8222 1.2435 1.9724 1.8443 1.9335 2.0044 2.0149 2.7863 3.1959 3.6483 2.751 3.7397 3.1066 4.0064 3.5958 3.6603
"GCF_000255135.1_ASM25513v1" 1.8392 1.7203 1.7109 1.9008 1.0119 1.9619 1.873 2.0052 1.7825 1.7406 2.5394 3.33 3.5174 3.5286 3.5997 3.4771 2.8588 4.3346 4.3215
"GCF_000018605.1_ASM1860v1" 1.9029 1.9916 2.008 1.8443 1.9066 1.9984 1.9223 1.998 1.9712 2.0052 3.0075 3.7736 3.5224 3.7481 3.888 3.7037 3.6724 4.9456 4.7893
"GCF_000023325.1_ASM2332v1" 1.915 2.0117 1.8868 1.9153 1.3378 1.9988 1.9131 1.9755 2.0072 1.728 2.7693 3.1918 3.643 3.5663 3.9557 3.5932 3.7092 4.5537 4.717
"GCA_000147715.3_ASM14771v3" 1.996 2.0096 1.8339 1.9562 1.5825 1.8126 1.9666 2.004 1.9794 1.9984 2.9967 3.7078 3.8081 3.4771 3.9293 3.9339 3.9541 4.7574 4.1946
"GCF_000212395.1_ASM21239v1" 2.0101 1.8646 1.9767 1.8643 2.0012 1.9635 2.0024 1.9357 2.0113 1.6281 2.8977 3.8805 3.6377 3.6657 3.7411 3.4904 3.6955 4.4783 4.8008
"GCF_000020965.1_ASM2096v1" 1.9755 1.9194 2.0084 1.9486 1.9885 1.9662 1.9286 1.99 2.0309 1.9814 2.9913 3.9231 3.6724 3.9277 3.3772 2.918 3.7764 4.7371 4.3011
"GCF_000021645.1_ASM2164v1" 1.9798 1.9988 2.0092 1.9826 2.0012 1.9708 1.9376 2.0028 2.0052 2.0149 3.0084 3.9667 3.7355 3.9825 3.34 3.0741 3.647 4.6253 4.415
"GCF_000266925.1_ASM26692v1" 1.9335 1.8355 1.9234 2.004 1.9677 1.9372 1.9964 1.8801 2.0227 1.6653 2.6042 3.9448 3.5149 3.4507 3.5714 3.6523 3.349 4.7755 5.3107
"GCF_000233775.1_ASM23377v1" 1.996 1.9885 2.0052 1.8772 1.7718 1.9924 2.0004 2.0012 2.0137 1.7476 2.6932 3.8835 3.8373 3.4746 3.5868 3.3501 3.8447 4.4723 5.2029
"GCF_000024905.1_ASM2490v1" 1.9033 2.004 1.9782 1.7391 1.8861 1.8765 1.9585 2.0048 2.0235 1.7015 1.3096 3.6643 3.7594 3.296 3.5125 2.8506 2.531 5.3163 5.4377
"GCA_000210715.1_ASM21071v1" 2.0096 2.0129 1.8839 1.8205 1.8389 1.9984 1.9885 1.9869 1.9948 1.856 2.9525 3.8124 3.9293 3.0148 3.7936 3.4916 3.686 4.6339 4.2265
"GCF_000025885.1_ASM2588v1" 1.9916 1.9869 1.9716 2.0068 1.3444 1.9893 1.9429 1.9759 1.8776 1.5569 2.8514 3.8168 3.9262 3.8358 3.8212 3.7175 3.643 4.3516 5.2192
"GCF_000160495.1_ASM16049v1" 1.9767 1.6929 1.9109 2.0072 1.8086 1.9539 1.7232 1.7989 1.7995 1.8376 2.6688 3.5638 3.3146 2.6752 3.1358 3.3411 2.1673 5.2549 2.8409
"GCF_000025305.1_ASM2530v1" 1.994 1.856 1.7349 1.8051 1.5635 1.7373 1.0014 1.9759 1.561 1.5696 2.0991 3.4868 3.1299 3.1143 3.2248 2.1664 2.7996 1.7516 3.5075
"GCF_000230275.1_ASM23027v1" 2.0084 1.8292 1.866 1.7876 1.7334 1.9908 1.2 1.9493 1.5823 1.5198 2.2712 3.7258 3.2658 3.1124 2.9481 2.3026 3.2552 3.7707 3.3535
"GCF_000024945.1_ASM2494v1" 1.6722 1.9956 1.1127 1.5995 1.7352 1.8605 1.808 1.9216 1.7024 1.2525 1.7044 3.3278 3.406 2.4624 3.1407 2.2904 3.3456 1.7458 2.5753
"GCF_000092945.1_ASM9294v1" 1.998 2.0068 1.9516 1.992 1.8539 1.9841 1.8057 2.0052 1.9558 1.9566 2.584 3.639 3.4578 3.6617 3.5575 3.2916 2.881 4.1597 5.2438
"GCF_000018425.1_ASM1842v1" 1.9592 2.0125 1.7618 1.9357 1.9984 1.8543 1.561 2.004 2.0186 1.9512 2.7397 3.8008 3.6179 3.5881 3.3636 3.6153 3.2 4.7506 4.5086
"GCF_000024605.1_ASM2460v1" 1.8539 1.8986 1.9992 1.9501 1.9399 1.9849 1.8332 1.9623 2.019 1.9268 2.891 3.3864 3.6955 3.7258 3.6496 3.655 3.5461 5.6338 4.4623
"GCF_000016165.1_ASM1616v1" 1.941 1.8587 2.0052 1.6499 1.9798 2.0024 1.8536 2.0032 1.5918 1.7969 2.3624 3.2352 3.4928 3.2616 3.7051 2.8145 2.6035 3.8066 3.7879
"GCF_000215085.1_ASM21508v1" 1.996 1.9639 1.8921 1.9984 1.9547 1.8748 1.5878 1.9681 1.9011 1.7771 2.2533 3.3681 3.375 3.4566 3.2072 2.584 2.3697 3.5224 4.0388
"GCA_000010565.1_ASM1056v1" 1.899 1.9996 1.5378 1.9771 1.8265 1.809 1.6812 1.965 1.846 1.8096 2.572 3.283 3.4578 3.1348 3.5511 3.5676 3.1309 3.9017 4.9751
"GCA_000233715.3_ASM23371v3" 1.9944 1.9944 1.7262 2.0052 2.0028 1.9091 1.6383 1.8893 1.8342 1.9531 2.6171 3.6643 3.4106 3.251 3.4083 3.5663 2.8019 4.07 4.6382
"GCF_000024205.1_ASM2420v1" 1.9346 1.9693 1.7902 2.0024 1.808 1.9932 1.8932 1.9964 1.9646 2.006 2.849 3.614 3.6062 3.1959 3.3146 3.4686 3.1536 4.1085 4.7778
"GCF_000012865.1_ASM1286v1" 2.002 1.9936 1.6316 1.9976 1.935 1.9051 1.8322 1.9327 1.8734 1.5011 2.3987 3.6324 3.7622 3.7879 2.9824 3.0175 2.373 4.0128 3.2637
"GCF_000092405.1_ASM9240v1" 2.0024 2.0109 1.9608 1.9153 1.9026 2.0024 1.7899 1.9877 2.0182 1.9666 3.0084 3.8197 3.4977 3.973 3.8081 3.9984 3.2701 5.2687 5.6211
"GCF_000014725.1_ASM1472v1" 1.8772 1.8639 1.9051 1.9406 1.9223 1.9948 1.8315 1.9212 2.0214 1.9916 2.8265 3.4471 3.1309 3.8506 3.2041 3.1726 2.2457 4.531 5.3107
"GCF_000013105.1_ASM1310v1" 1.7743 1.8643 1.8129 1.9543 1.7989 1.8116 1.6863 1.8152 1.9264 1.8012 2.6582 3.7383 2.9121 3.5298 3.6563 3.1596 3.1427 4.5086 4.4267
"GCF_000512895.1_ASM51289v1" 1.9739 1.9298 2.0088 2.002 1.7658 1.8857 1.8139 1.9806 1.7759 1.7409 2.3992 3.7566 3.8139 3.647 3.0788 3.6765 3.5075 4.5228 4.3215
"GCF_000190635.1_ASM19063v1" 1.9814 1.8392 1.998 1.9728 1.7702 1.9324 1.7212 1.9554 1.8815 1.9451 2.5013 3.87 3.9124 3.8256 3.5511 3.8373 3.3568 4.4803 4.3085
"GCA_000255115.3_ASM25511v3" 1.941 1.9666 1.9861 1.9924 1.8836 1.9743 1.8265 1.9701 1.8556 1.9589 2.4869 3.7994 3.8911 3.8476 3.5765 3.8565 3.9017 4.7037 3.9154
