"Domain"	"Status"	"Study.Name"	"Genome.Name.Sample.Name"	"Sequencing.Center"	"IMG.Genome.ID."	"Phylum"	"Genus"	"Species"	"NCBI.Taxon.ID"	"RefSeq.Project.ID"	"NCBI.Project.ID"	"Genome.Completeness.."	"Culture.Type"	"Cultured"	"Depth"	"Ecosystem"	"Ecosystem.Category"	"Ecosystem.Subtype"	"Ecosystem.Type"	"Ecotype"	"Habitat"	"Isolation"	"Metabolism"	"Motility"	"Oxygen.Requirement"	"Phenotype"	"Salinity"	"Specific.Ecosystem"	"Sporulation"	"Temperature.Range"	"Genome.Size.....assembled"	"Gene.Count.....assembled"	"GC.....assembled"	"CDS.......assembled"	"rRNA.Count.....assembled"	"tRNA.Count.....assembled"	"Pseudo.Genes..."	"Horizontally.Transferred.."
"GCF_000020945.1_ASM2094v1"	"Bacteria"	"Finished"	"Coprothermobacter proteolyticus DSM 5265"	"Coprothermobacter proteolyticus DSM 5265"	"J. Craig Venter Institute (JCVI)"	643348530	"Firmicutes"	"Coprothermobacter"	"Coprothermobacter proteolyticus"	309798	59253	30729	NA	"Isolate"	"Yes"	""	"Host-associated"	"Mammals"	"Large intestine"	"Digestive system"	""	""	"tannery waste containing cattle manure"	"Acetogen"	"Nonmotile"	"Anaerobe"	""	""	"Fecal"	"Nonsporulating"	"Thermophile"	1424912	1535	0.45	96.55	6	47	0	47.82
"GCF_000016905.1_ASM1690v1"	"Bacteria"	"Finished"	"Thermotogales"	"Thermosipho melanesiensis BI429"	"DOE Joint Genome Institute (JGI)"	640753057	"Thermotogae"	"Thermosipho"	"Thermosipho melanesiensis"	391009	58683	17249	NA	"Isolate"	"Yes"	"1832 - 1887 meters"	"Host-associated"	"Mollusca"	"Unclassified"	"Unclassified"	""	"Aquatic, Host, Hot spring, Hydrothermal vent, Marine"	"Gills of the deep-sea vent hydrothermal mussel Bathymodiolus brevior from the Lau Basin at Southwestern Pacific Ocean, between 1832 and 1887 metres (latitude, 22o329S; longitude, 176o439W)"	""	""	"Anaerobe"	""	""	"Unclassified"	""	"Thermophile"	1915238	1998	0.31	96.35	12	50	2.3	6.46
"GCF_000021285.1_ASM2128v1"	"Bacteria"	"Finished"	"Thermosipho africanus TCF52B"	"Thermosipho africanus TCF52B"	"Genome Canada"	643348583	"Thermotogae"	"Thermosipho"	"Thermosipho africanus"	484019	59095	27767	NA	"Isolate"	"Yes"	""	"Engineered"	"Wastewater"	"Petrochemical"	"Industrial wastewater"	""	"Aquatic, Fresh water, Host, Marine"	"Troll oil formation in the North Sea using fish waste as the only substrate"	""	""	"Anaerobe"	""	""	"Unclassified"	""	"Thermophile"	2016657	1968	0.31	97.1	9	48	0	3.2
"GCF_000017545.1_ASM1754v1"	"Bacteria"	"Finished"	"Thermotogales"	"Fervidobacterium nodosum Rt17-B1"	"DOE Joint Genome Institute (JGI)"	640753026	"Thermotogae"	"Fervidobacterium"	"Fervidobacterium nodosum"	381764	58625	16719	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Fresh water, Hot spring"	"Hot spring in New Zealand"	""	"Motile"	"Anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	1948941	1847	0.35	96.48	6	50	1.79	2.82
"GCA_000235405.3_ASM23540v3"	"Bacteria"	"Finished"	"Protein structure adaptations and genome stability as reflected by species of the Thermotogales"	"Fervidobacterium pennivorans Ven 5, DSM 9078"	"DOE Joint Genome Institute (JGI)"	2507149014	"Thermotogae"	"Fervidobacterium"	"Fervidobacterium pennivorans"	771875	78143	60139	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Sediment"	""	"Hot spring, Mud, Sediment"	"hot mud of spa"	""	""	"Anaerobe"	""	""	"Unclassified"	""	"Thermophile"	2166381	2063	0.39	97.24	7	48	2.86	4.12
"GCF_000017865.1_ASM1786v1"	"Bacteria"	"Finished"	"Thermotoga lettingae TMO"	"Thermotoga lettingae TMO"	"DOE Joint Genome Institute (JGI)"	641228511	"Thermotogae"	"Thermotoga"	"Thermotoga lettingae"	416591	58419	15644	NA	"Isolate"	"Yes"	""	"Engineered"	"Wastewater"	"Unclassified"	"Unclassified"	""	"Fresh water"	"Thermophilic sulfate-reducing bioreactor; The Netherlands, Wageningen"	"Methanol degrading"	"Motile"	"Anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	2135342	2092	0.39	97.51	3	46	0	10.37
"GCF_000217815.1_ASM21781v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Pseudothermotoga thermarum DSM 5069"	"DOE Joint Genome Institute (JGI)"	2503508007	"Thermotogae"	"Pseudothermotoga"	"Pseudothermotoga thermarum"	688269	68449	41517	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Volcanic"	""	"Aquatic"	"Continental solfataric spring; Africa, Djibouti, Lac Abbe"	""	""	"Anaerobe"	""	""	"Unclassified"	""	"Hyperthermophile"	2039943	2066	0.4	97.53	3	46	3.34	11.52
"GCF_000018945.1_ASM1894v1"	"Bacteria"	"Finished"	"Thermotoga neapolitana DSM 4359"	"Thermotoga neapolitana DSM 4359"	"Geno Technology Inc."	643348584	"Thermotogae"	"Thermotoga"	"Thermotoga neapolitana"	309803	59065	21023	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	""	"Fresh water"	"Black smoker in the bay near Naples Italy in 1986"	"Sulfur reducer"	"Motile"	"Anaerobe"	"Piezophile"	""	"Unclassified"	"Nonsporulating"	"Hyperthermophile"	1884562	1988	0.47	97.43	3	48	0	2.46
"GCF_000008545.1_ASM854v1"	"Bacteria"	"Finished"	"Thermotoga maritima MSB8"	"Thermotoga maritima MSB8"	"J. Craig Venter Institute (JCVI)"	637000321	"Thermotogae"	"Thermotoga"	"Thermotoga maritima"	243274	57723	111	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	""	"Marine, Marine sediment, Mud"	"anaerobic marine mud"	""	"Motile"	"Anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Hyperthermophile"	1860725	1915	0.46	97.02	3	46	0	0.37
"GCF_000255135.1_ASM25513v1"	"Bacteria"	"Finished"	"Protein structure adaptations and genome stability as reflected by species of the Thermotogales"	"Marinitoga piezophila KA3"	"DOE Joint Genome Institute (JGI)"	2508501120	"Thermotogae"	"Marinitoga"	"Marinitoga piezophila"	443254	81629	66025	NA	"Isolate"	"Yes"	"2630 meters"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	""	"Aquatic, Deep sea, Hot spring, Hydrothermal vent, Marine"	"deep-sea hydrothermal vent chimney at a depth of 2630 meters on the East-Pacific Rise"	"Sulfur reducer"	"Motile"	"Anaerobe"	"Piezophile"	""	"Unclassified"	"Nonsporulating"	"Thermophile"	2244793	2131	0.29	97.14	9	51	1.13	13.98
